expert_id,expert,112.ua,24 канал,Gazeta.ua,LB.ua,LIGA.net,Politeka,ZIK,Zaxid.net,Znaj.ua,Інтерфакс-Україна,Апостроф,Бабель,Букви,Вголос,Вєсті,Газета Факти,Главком,ГолосUA,Гордон,Громадське,Дзеркало тижня,Економічна Правда,Еспресо ТВ,Комсомольська правда в Україні,Корреспондент.net,НВ,Обозреватель,РБК-Україна,Радіо Свобода,Страна.ua,Суспільне,Сьогодні,ТСН,Телеграф,УНІАН,УНН,Українська правда,Українські новини,Укрінформ,Факти ICTV,Фокус,Цензор.НЕТ
86,Борис Кушнірук,0,3,2,0,0,24,0,0,25,0,0,0,0,0,0,0,18,0,9,0,0,0,2,0,0,0,23,9,0,0,0,15,0,1,1,2,0,0,0,0,0,5
109,Олег Пендзин,1,3,1,0,0,7,2,0,6,0,2,0,0,0,0,0,16,19,1,0,1,0,3,0,0,0,12,2,0,2,0,12,2,0,1,1,0,2,0,1,1,4
184,Олексій Кущ,1,1,7,0,0,20,4,0,20,0,1,0,0,0,3,0,1,1,0,0,0,0,0,6,0,0,2,0,0,0,0,6,0,0,0,0,0,1,0,1,0,0
138,Андрій Шевчишин,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,7,0,0,0,0,0,0,6,1,0,17,0,0,19,0,13,0,1,0,0,0,4,0,0,0,0
204,Олександр Каленков,0,0,0,0,0,14,0,0,13,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,13,7,0,0,0,5,0,0,0,0,0,1,0,0,0,6
128,Тимофій Милованов,0,3,2,0,0,0,1,0,0,2,2,0,1,0,8,0,6,3,4,0,2,1,2,2,1,7,2,0,1,0,0,3,1,2,0,2,0,0,0,2,0,3
162,Олександр Охріменко,0,0,3,0,0,5,0,0,4,0,1,0,0,0,4,1,9,4,1,0,0,0,0,5,0,0,5,1,0,0,0,11,0,0,1,3,0,3,0,0,1,0
281,Вадим Іосуб,0,0,2,0,0,0,3,0,0,0,3,0,0,1,0,4,0,0,0,0,0,0,0,7,1,0,15,6,0,0,0,0,0,4,1,0,0,4,0,1,0,0
313,Андрій Новак,0,0,1,0,0,6,0,0,6,0,1,0,0,1,0,0,4,7,3,0,0,0,0,0,0,0,8,4,0,0,0,6,0,0,0,3,0,1,0,0,0,1
361,Олег Попенко,0,0,1,0,0,1,0,0,4,0,4,0,0,1,7,0,4,4,0,0,1,0,1,0,0,0,8,0,0,2,1,0,0,0,1,0,0,6,0,0,0,0
382,Катерина Котенкова,0,0,0,0,0,20,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,Олег Устенко,1,3,0,4,0,0,1,0,0,1,0,0,0,0,4,0,1,2,4,0,0,0,1,0,3,2,0,3,0,0,0,1,0,0,0,0,0,0,4,1,1,3
338,Максим Тімченко,0,1,0,0,0,6,0,0,6,2,0,0,1,0,0,0,4,0,3,0,0,0,1,0,0,3,5,3,0,0,0,2,0,0,0,0,0,1,0,0,0,2
834,Анатолій Кінах,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,5,5,0,0,0,3,0,0,0,0,0,0,0,0,0,1
852,Анатолій Старовойт,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0
343,Володимир Омелян,0,0,0,0,0,6,1,0,6,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,6,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0
304,Сергій Фурса,0,6,2,0,0,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,1,3,0,1,0,0,0,2,0,2,1,1,0,1,1,0,0,0
181,Володимир Гройсман,1,0,0,0,0,3,0,0,3,2,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,6,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0
689,Сергій Куюн,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,2,2,0,1,0,0,1,0,7,0,1,0,0,0,3,1,0,0,0
602,Олексій Дорошенко,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,4,3,1,0,0,0,0,0,0,0,3,0,0,1,0,1,0,2,0,2,0,0,0,0,0,0
551,Юрій Атаманюк,0,0,0,0,0,10,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,Андрій Гойлов,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0
459,Юрій Корольчук,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,4,0,0,0,0,0,5,1,1,0,0,0,0,0,2,0,0,0,0
843,Станіслав Зінченко,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1175,Дмитро Олійник,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,3,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1
518,Василь Невмержицький,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,2,0,0,0,0
378,Дмитро Марунич,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,2,1,1,0,2,0,0,0,0
569,Геннадій Рябцев,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,1,0,0,0,0,0,1,0,0,0,0,5,0,2,1,0,0,0,0,0,0,0,0,0
1191,Світлана Литвин,0,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,2,1,0,0,2,0,0,0
465,Віктор Скаршевський,0,0,0,0,0,3,5,0,3,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
