expert_id,expert,112.ua,24 канал,Gazeta.ua,LB.ua,LIGA.net,Politeka,ZIK,Zaxid.net,Znaj.ua,Інтерфакс-Україна,Апостроф,Бабель,Букви,Вголос,Вєсті,Газета Факти,Главком,ГолосUA,Гордон,Громадське,Дзеркало тижня,Економічна Правда,Еспресо ТВ,Комсомольська правда в Україні,Корреспондент.net,НВ,Обозреватель,РБК-Україна,Радіо Свобода,Страна.ua,Суспільне,Сьогодні,ТСН,Телеграф,УНІАН,УНН,Українська правда,Українські новини,Укрінформ,Факти ICTV,Фокус,Цензор.НЕТ
434,Масі Найєм,0,6,6,1,2,0,0,0,0,1,0,2,2,0,4,1,3,0,2,1,0,0,3,0,0,6,2,0,1,1,1,0,3,0,0,1,0,1,2,0,6,3
733,Валентин Рибін,0,2,0,1,2,0,0,1,0,0,0,0,0,0,6,2,0,0,1,2,1,0,0,2,0,1,0,0,0,5,3,0,0,0,1,0,1,1,3,0,2,2
796,Володимир Шинкаренко,3,0,3,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,2,2,0,1,3,0,0,2,5,1,0,2,1,0,1,0,3,1,0,1
157,Денис Казанський,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,18,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
92,Сергій Лещенко,0,3,0,1,1,0,0,2,0,3,0,0,2,0,2,0,2,0,2,0,2,0,0,0,0,1,3,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0
258,Рефат Чубаров,0,2,0,0,0,0,2,1,0,1,1,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,1,1,4,0,2,1,1,0,0,0,0,0,2,1,0,0
107,Віталій Шабунін,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
741,Юрій Дудкін,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,2,1,0,0,2,0,0,0,0,0,1,2,1
1427,Анатолій Макаренко,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,0,2,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1
40,Юрій Бутусов,0,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,2
718,Сергій Риженко,1,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,2,0,0,0
411,Віталій Сердюк,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,2,1,0,1
