expert_id,expert,112.ua,24 канал,Gazeta.ua,LB.ua,LIGA.net,Politeka,ZIK,Zaxid.net,Znaj.ua,Інтерфакс-Україна,Апостроф,Бабель,Букви,Вголос,Вєсті,Газета Факти,Главком,ГолосUA,Гордон,Громадське,Дзеркало тижня,Економічна Правда,Еспресо ТВ,Комсомольська правда в Україні,Корреспондент.net,НВ,Обозреватель,РБК-Україна,Радіо Свобода,Страна.ua,Суспільне,Сьогодні,ТСН,Телеграф,УНІАН,УНН,Українська правда,Українські новини,Укрінформ,Факти ICTV,Фокус,Цензор.НЕТ
92,Сергій Лещенко,0,19,0,0,1,1,0,0,0,1,2,1,0,0,4,1,36,1,11,0,7,0,1,3,1,3,1,0,1,3,0,0,0,3,1,0,1,1,0,0,20,3
170,Сергій Томіленко,2,7,1,0,0,0,3,1,0,1,3,2,2,0,10,0,5,2,3,0,2,0,0,1,1,2,0,2,27,4,0,1,3,2,0,1,1,2,3,1,2,0
142,Арсеній Яценюк,4,0,0,0,1,1,4,1,0,0,0,0,0,0,6,2,0,5,11,0,1,0,1,4,0,0,1,0,0,1,0,23,0,6,0,0,0,1,4,0,2,4
123,Руслан Бортник,1,0,0,0,0,2,1,0,7,0,0,0,0,0,22,0,0,27,0,0,0,0,0,3,0,0,0,0,0,2,0,1,0,1,0,0,0,2,0,0,1,0
40,Юрій Бутусов,0,7,3,2,2,0,0,1,0,1,3,2,2,0,2,0,2,0,6,0,3,0,7,0,1,2,5,0,1,0,2,0,0,3,0,0,2,1,2,2,0,5
107,Віталій Шабунін,0,19,2,2,3,0,1,0,0,2,2,0,0,1,2,1,1,0,8,3,4,0,2,0,1,3,6,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3
176,Володимир Фесенко,0,19,1,0,0,0,0,0,0,0,2,0,0,0,4,0,2,9,3,0,0,0,0,2,2,6,2,1,0,0,0,1,3,0,2,3,0,0,0,2,3,1
203,Андрій Портнов,3,2,2,0,1,0,3,0,0,0,0,0,0,0,14,0,2,1,0,0,0,0,2,0,0,0,0,0,0,9,0,1,2,1,0,0,0,4,0,0,0,3
318,Олексій Кошель,0,3,4,3,0,0,0,0,0,2,0,0,2,0,2,0,3,2,3,2,4,0,2,1,0,1,1,1,2,2,0,0,0,0,0,1,0,0,2,1,0,1
402,Ігор Головань,1,2,0,3,0,0,0,1,0,3,1,2,3,0,0,0,3,1,4,0,0,0,2,0,0,1,3,2,1,1,0,1,0,0,0,0,1,1,2,0,1,2
196,Олексій Якубін,0,0,0,0,0,0,6,0,0,0,0,0,0,0,16,0,0,15,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1003,Ентоні Белланжер,8,0,0,0,1,0,6,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3,0,0,0,1,0,0,3,0
443,Тарас Загородній,0,0,0,0,0,12,1,0,15,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,Михайло Чаплига,2,0,0,0,0,13,4,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
128,Тимофій Милованов,0,4,0,1,0,0,1,0,0,2,0,0,0,0,1,0,7,1,0,3,0,0,0,0,0,2,2,0,0,2,0,0,0,1,0,0,0,0,0,1,1,4
257,Андрій Золотарьов,0,0,1,0,0,0,0,0,0,0,3,0,0,0,5,0,0,14,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0
805,Ольга Герасим'юк,0,4,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,2,0,1,0,1,0,1,0,2,0,1,2,1,0,1,0,1,0,1,0,6,0,1,0
