expert_id,expert,112.ua,24 канал,Gazeta.ua,LB.ua,LIGA.net,Politeka,ZIK,Zaxid.net,Znaj.ua,Інтерфакс-Україна,Апостроф,Бабель,Букви,Вголос,Вєсті,Газета Факти,Главком,ГолосUA,Гордон,Громадське,Дзеркало тижня,Економічна Правда,Еспресо ТВ,Комсомольська правда в Україні,Корреспондент.net,НВ,Обозреватель,РБК-Україна,Радіо Свобода,Страна.ua,Суспільне,Сьогодні,ТСН,Телеграф,УНІАН,УНН,Українська правда,Українські новини,Укрінформ,Факти ICTV,Фокус,Цензор.НЕТ
53,Ольга Голубовська,0,0,1,0,0,4,1,0,0,0,0,1,0,0,3,1,4,1,3,0,0,0,0,3,0,3,14,4,0,3,0,3,2,5,4,11,0,1,0,1,0,1
455,Пітер Дашак,1,5,2,0,1,0,3,0,1,1,0,1,0,2,2,0,1,2,2,2,2,0,3,0,2,3,3,3,0,3,3,3,1,1,2,1,1,0,3,2,3,2
71,Євген Комаровський,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,6,3,3,0,0,0,0,5,0,1,0,0,0,3,0,0,3,5,2,0,0,0,0,1,2,0
562,Федір Лапій,0,1,5,0,0,0,1,1,0,0,0,0,2,0,0,0,1,1,2,1,0,0,0,0,1,2,0,6,0,1,1,0,1,0,3,0,0,0,1,1,0,1
603,Ярно Хабіхт,1,2,1,1,0,0,2,0,0,2,0,0,0,1,0,0,1,0,1,1,0,0,1,0,2,0,2,3,2,0,0,3,2,0,1,1,1,0,1,0,0,0
253,Сергій Кравченко,1,1,2,0,0,1,4,0,1,0,2,0,0,0,2,0,0,4,0,0,0,0,1,0,1,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0
651,Ольга Кобевко,0,6,2,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,2,0,0,1,0,1,2,1,2,0,0,0,1,1,0,1
512,Борис Донськой,0,1,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,3,0,0,0,0,2,2,2,2,3,0,2,0,0,0,0
1227,Ендрю Поллард,1,2,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,3,0,0,0,1,1,0,2,0,0,0,2,3,1,1,0,2,0,1,0,0,0
672,Володимир Паничев,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0
723,Євген Дубровський,0,0,1,0,0,2,2,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,7,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
1355,Андрій Славуцький,0,2,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,2,2,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,2,0,0
525,Володимир Курпіта,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1
1396,Зоряна Цілик,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,5,0,0,0,4,0,2,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
495,Наталія Виноград,0,4,2,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,5,0,0,1,0,0,0
118,Сергій Комісаренко,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,2,0,1,0,0,0,0,3,0,0
447,Андрій Александрін,1,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0
731,Вадим Арістов,0,2,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,4,0,0
407,Алла Мироненко,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
