expert_id,expert,112.ua,24 канал,Gazeta.ua,LB.ua,LIGA.net,Obozrevatel,Politeka,ZIK,ZN.UA,Zaxid.net,Znaj.ua,Інтерфакс-Україна,Апостроф,Бабель,Букви,Вголос,Вести,Главком,ГолосUA,Гордон,Громадське,Економічна правда,Еспресо ТВ,КП в Украине,Корреспондент.net,НВ,РБК-Україна,Радіо Свобода,Страна.ua,Суспільне,Сьогодні,ТСН,Телеграф,УНІАН,УНН,Українська правда,Українські новини,Укрінформ,Факти,Факти ICTV,Фокус,Цензор.НЕТ
67,Ольга Голубовська,4,0,4,0,0,43,0,1,1,0,0,0,5,0,0,3,11,15,3,3,0,0,2,3,1,11,2,0,3,1,3,4,0,7,14,0,5,0,1,8,4,1
43,Юрій Бутусов,2,17,6,0,6,3,2,1,2,3,5,0,4,2,5,0,4,2,3,16,0,0,5,0,0,6,0,0,2,2,1,0,1,0,0,2,0,6,6,0,2,8
94,Сергій Лещенко,0,26,1,0,0,9,1,0,3,2,1,2,4,0,2,1,3,13,0,18,2,0,0,1,0,3,0,0,0,0,0,1,1,2,7,0,0,0,0,0,1,4
134,Олег Пендзин,0,2,1,0,0,6,2,0,0,0,4,0,4,0,1,1,5,9,43,0,0,0,1,1,0,0,0,0,2,2,13,1,1,1,2,0,3,0,0,1,0,0
136,Руслан Бортник,3,0,0,0,0,0,16,5,0,0,16,0,0,0,0,0,11,0,39,0,0,0,0,1,0,0,0,0,3,0,2,0,1,2,0,0,1,0,0,0,0,0
124,Борис Кушнірук,0,0,4,0,0,15,15,0,0,0,17,0,1,0,0,0,2,14,1,5,0,0,2,0,0,0,3,0,0,1,10,0,1,0,0,0,0,0,1,0,1,3
239,Вадим Іосуб,0,0,4,0,0,10,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,3,0,0,4,0,0,0,2,0,4,2,0,0,54,0,5,3,0,0
587,Сергій Філімонов,0,1,0,5,0,5,0,0,1,1,0,1,0,3,3,0,4,2,0,19,4,0,0,2,1,8,0,0,8,1,4,0,3,1,0,1,0,0,0,0,5,9
172,Сергій Комісаренко,0,2,2,0,1,14,0,2,1,0,0,0,3,0,0,0,3,13,3,3,0,0,1,2,4,2,2,0,2,1,1,1,3,6,2,0,3,1,1,5,1,2
376,Сергій Риженко,2,5,5,0,1,6,1,1,0,0,0,0,8,0,0,1,0,0,3,10,0,0,2,4,2,8,1,1,1,4,2,1,0,3,0,0,0,3,3,1,1,6
