image_name;name;"Економічна правда; позитивні";"Економічна правда; нейтральні";"Економічна правда; негативні";"РБК-Україна; позитивні";"РБК-Україна; нейтральні";"РБК-Україна; негативні";"Українська правда; позитивні";"Українська правда; нейтральні";"Українська правда; негативні";"ZIK; позитивні";"ZIK; нейтральні";"ZIK; негативні";"LIGA.net; позитивні";"LIGA.net; нейтральні";"LIGA.net; негативні";"Obozrevatel; позитивні";"Obozrevatel; нейтральні";"Obozrevatel; негативні";"24 канал; позитивні";"24 канал; нейтральні";"24 канал; негативні";"УНІАН; позитивні";"УНІАН; нейтральні";"УНІАН; негативні";"LB.ua; позитивні";"LB.ua; нейтральні";"LB.ua; негативні";"ТСН; позитивні";"ТСН; нейтральні";"ТСН; негативні";"Сьогодні; позитивні";"Сьогодні; нейтральні";"Сьогодні; негативні";"Гордон; позитивні";"Гордон; нейтральні";"Гордон; негативні";"УНН; позитивні";"УНН; нейтральні";"УНН; негативні";"Апостроф; позитивні";"Апостроф; нейтральні";"Апостроф; негативні";"Українські новини; позитивні";"Українські новини; нейтральні";"Українські новини; негативні";"Страна.ua; позитивні";"Страна.ua; нейтральні";"Страна.ua; негативні";"Радіо Свобода; позитивні";"Радіо Свобода; нейтральні";"Радіо Свобода; негативні";"Фокус; позитивні";"Фокус; нейтральні";"Фокус; негативні";"Інтерфакс-Україна; позитивні";"Інтерфакс-Україна; нейтральні";"Інтерфакс-Україна; негативні";"112.ua; позитивні";"112.ua; нейтральні";"112.ua; негативні";"ZN.UA; позитивні";"ZN.UA; нейтральні";"ZN.UA; негативні";"Znaj.ua; позитивні";"Znaj.ua; нейтральні";"Znaj.ua; негативні";"Politeka; позитивні";"Politeka; нейтральні";"Politeka; негативні";"Громадське; позитивні";"Громадське; нейтральні";"Громадське; негативні";"Факти ICTV; позитивні";"Факти ICTV; нейтральні";"Факти ICTV; негативні";"Главком; позитивні";"Главком; нейтральні";"Главком; негативні";"Цензор.НЕТ; позитивні";"Цензор.НЕТ; нейтральні";"Цензор.НЕТ; негативні";"Корреспондент.net; позитивні";"Корреспондент.net; нейтральні";"Корреспондент.net; негативні";"Вголос; позитивні";"Вголос; нейтральні";"Вголос; негативні";"НВ; позитивні";"НВ; нейтральні";"НВ; негативні";"Gazeta.ua; позитивні";"Gazeta.ua; нейтральні";"Gazeta.ua; негативні";"Zaxid.net; позитивні";"Zaxid.net; нейтральні";"Zaxid.net; негативні";"Суспільне; позитивні";"Суспільне; нейтральні";"Суспільне; негативні";"Укрінформ; позитивні";"Укрінформ; нейтральні";"Укрінформ; негативні";"ГолосUA; позитивні";"ГолосUA; нейтральні";"ГолосUA; негативні";"Букви; позитивні";"Букви; нейтральні";"Букви; негативні";"КП в Украине; позитивні";"КП в Украине; нейтральні";"КП в Украине; негативні";"Факти; позитивні";"Факти; нейтральні";"Факти; негативні";"Телеграф; позитивні";"Телеграф; нейтральні";"Телеграф; негативні";"Вести; позитивні";"Вести; нейтральні";"Вести; негативні";"Еспресо ТВ; позитивні";"Еспресо ТВ; нейтральні";"Еспресо ТВ; негативні";"Бабель; позитивні";"Бабель; нейтральні";"Бабель; негативні"
m_stepanov;Максим Степанов;1;2;1;13;134;25;6;59;16;4;39;9;15;78;17;19;122;36;7;152;33;12;122;35;5;47;7;5;90;15;22;111;25;11;142;62;20;116;127;2;58;8;12;42;15;14;55;47;8;35;35;8;72;17;11;37;39;11;88;22;12;246;39;2;9;3;1;7;3;1;98;9;13;84;21;19;215;72;27;121;23;5;79;46;1;57;5;19;152;42;3;39;9;1;15;7;33;111;15;22;93;18;9;67;18;3;31;7;9;78;25;1;17;9;7;44;5;22;95;22;4;45;14;0;50;8
v_liashko;Віктор Ляшко;0;0;0;9;43;10;1;15;32;1;14;7;3;44;21;8;44;11;6;71;19;6;36;9;2;18;8;4;25;4;0;27;7;6;44;13;6;59;3;0;11;2;5;22;9;8;16;5;2;13;1;6;24;12;1;19;5;6;43;7;3;197;22;3;2;2;2;1;0;6;60;3;10;33;9;10;40;11;11;37;11;7;35;9;3;14;0;4;28;24;2;15;2;0;14;0;6;21;5;5;34;5;4;12;7;3;18;1;3;26;17;1;10;0;7;4;7;5;25;12;5;14;3;2;13;1
v_zelenskyi;Володимир Зеленський;0;2;0;2;29;4;1;5;5;1;4;3;6;20;5;2;22;7;11;50;4;3;56;8;2;22;5;2;32;1;0;22;5;10;36;3;1;52;12;3;14;1;6;17;6;4;15;8;1;6;2;2;13;2;0;15;8;3;21;2;1;44;6;0;6;1;0;0;1;2;54;0;6;19;2;7;53;7;4;17;2;5;24;6;1;11;1;8;109;6;4;12;4;0;5;3;1;8;3;1;32;4;15;8;1;0;11;1;5;23;4;1;7;0;3;9;8;9;32;2;2;4;3;1;7;2
d_shmyhal;Денис Шмигаль;0;2;0;3;29;3;0;15;2;0;6;2;3;31;3;1;31;1;3;21;5;0;39;2;0;4;0;2;5;4;0;19;2;2;75;3;4;27;7;0;7;2;0;10;14;0;16;2;0;7;0;2;16;1;0;6;0;1;30;2;0;50;1;0;0;0;0;1;17;0;5;0;1;18;2;4;71;2;1;10;2;5;14;2;1;9;1;4;46;2;0;11;1;0;5;1;0;55;2;7;13;1;1;7;0;1;6;1;1;17;2;0;0;1;0;3;1;6;20;1;1;7;2;1;5;0
v_klychko;Віталій Кличко;0;0;1;1;13;3;0;33;3;0;1;1;0;2;0;1;16;12;0;2;0;1;15;16;0;10;2;0;8;1;1;35;3;0;5;5;0;13;24;0;3;0;4;30;10;0;21;7;0;1;1;0;4;4;0;5;26;0;32;4;0;5;8;0;2;2;0;3;10;0;0;1;1;4;2;0;38;21;23;7;16;0;25;4;0;9;1;1;40;5;0;4;3;0;0;0;2;25;1;1;24;19;0;28;5;0;2;0;1;9;4;0;1;2;0;2;2;1;2;3;0;3;1;0;3;1
m_radutskyi;Михайло Радуцький;0;0;0;2;13;7;0;3;0;1;2;3;4;4;2;0;1;0;1;14;1;3;23;9;0;1;3;1;11;1;2;15;5;0;5;9;0;0;0;0;0;1;1;4;0;1;1;3;0;1;0;3;5;0;0;0;1;2;2;0;0;3;1;0;1;0;0;0;0;0;2;4;2;12;8;0;4;0;2;5;5;1;9;1;2;2;0;5;9;4;2;0;1;0;0;0;1;2;0;1;2;4;0;4;2;0;0;0;1;3;3;0;1;0;0;0;0;7;7;2;2;1;1;0;2;1
a_sadovyi;Андрій Садовий;0;0;0;0;6;3;0;3;3;0;3;1;1;5;1;0;4;1;0;12;1;1;5;0;0;2;0;1;8;1;0;3;1;0;3;2;0;0;0;0;1;1;0;1;1;2;2;0;0;1;0;1;3;2;0;2;0;0;1;1;1;7;0;1;5;1;0;3;0;0;2;1;0;8;1;0;4;1;1;6;3;1;8;0;0;0;0;3;8;4;0;3;1;3;16;0;1;11;0;2;6;3;0;1;1;0;3;0;1;2;1;1;0;0;0;1;0;0;4;3;0;1;0;0;1;1
p_poroshenko;Петро Порошенко;0;0;0;4;4;2;0;0;0;0;1;0;0;0;0;8;1;1;2;2;0;1;0;0;2;1;3;0;0;0;0;0;0;0;6;6;1;1;1;0;1;1;2;2;1;0;3;2;0;0;0;0;0;1;1;0;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;4;3;1;1;0;0;0;0;0;0;0;0;4;5;5;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;3;6;0;0;1;0;1;0;0;1;2;0;1;3;1;0;1;0;3;0
d_kuleba;Дмитро Кулеба;0;0;0;1;1;0;0;1;1;0;0;0;0;2;0;0;0;1;0;2;1;1;1;0;1;1;0;0;1;0;0;1;0;2;5;2;2;2;0;1;0;0;0;2;0;0;0;0;0;1;0;1;0;0;1;1;0;0;3;0;1;1;0;0;0;0;0;0;0;0;1;1;0;2;0;0;1;2;0;2;0;0;4;1;0;0;0;1;2;1;0;0;0;0;1;0;0;1;0;0;2;1;1;1;0;0;0;0;0;4;1;0;1;0;0;1;0;0;1;0;0;2;0;0;0;0
o_danilov;Олексій Данілов;0;0;0;0;2;3;0;2;1;0;1;0;0;0;0;0;1;2;0;4;2;0;2;0;0;0;0;0;1;0;0;1;1;0;19;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;4;1;0;0;0;0;0;3;1;0;0;0;0;0;2;1;2;1;0;2;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0
