image_name;name;"Економічна правда; позитивні";"Економічна правда; нейтральні";"Економічна правда; негативні";"РБК-Україна; позитивні";"РБК-Україна; нейтральні";"РБК-Україна; негативні";"Українська правда; позитивні";"Українська правда; нейтральні";"Українська правда; негативні";"ZIK; позитивні";"ZIK; нейтральні";"ZIK; негативні";"LIGA.net; позитивні";"LIGA.net; нейтральні";"LIGA.net; негативні";"Obozrevatel; позитивні";"Obozrevatel; нейтральні";"Obozrevatel; негативні";"24 канал; позитивні";"24 канал; нейтральні";"24 канал; негативні";"УНІАН; позитивні";"УНІАН; нейтральні";"УНІАН; негативні";"LB.ua; позитивні";"LB.ua; нейтральні";"LB.ua; негативні";"ТСН; позитивні";"ТСН; нейтральні";"ТСН; негативні";"Сьогодні; позитивні";"Сьогодні; нейтральні";"Сьогодні; негативні";"Гордон; позитивні";"Гордон; нейтральні";"Гордон; негативні";"УНН; позитивні";"УНН; нейтральні";"УНН; негативні";"Апостроф; позитивні";"Апостроф; нейтральні";"Апостроф; негативні";"Українські новини; позитивні";"Українські новини; нейтральні";"Українські новини; негативні";"Страна.ua; позитивні";"Страна.ua; нейтральні";"Страна.ua; негативні";"Радіо Свобода; позитивні";"Радіо Свобода; нейтральні";"Радіо Свобода; негативні";"Фокус; позитивні";"Фокус; нейтральні";"Фокус; негативні";"Інтерфакс-Україна; позитивні";"Інтерфакс-Україна; нейтральні";"Інтерфакс-Україна; негативні";"112.ua; позитивні";"112.ua; нейтральні";"112.ua; негативні";"ZN.UA; позитивні";"ZN.UA; нейтральні";"ZN.UA; негативні";"Znaj.ua; позитивні";"Znaj.ua; нейтральні";"Znaj.ua; негативні";"Politeka; позитивні";"Politeka; нейтральні";"Politeka; негативні";"Громадське; позитивні";"Громадське; нейтральні";"Громадське; негативні";"Факти ICTV; позитивні";"Факти ICTV; нейтральні";"Факти ICTV; негативні";"Главком; позитивні";"Главком; нейтральні";"Главком; негативні";"Цензор.НЕТ; позитивні";"Цензор.НЕТ; нейтральні";"Цензор.НЕТ; негативні";"Корреспондент.net; позитивні";"Корреспондент.net; нейтральні";"Корреспондент.net; негативні";"Вголос; позитивні";"Вголос; нейтральні";"Вголос; негативні";"НВ; позитивні";"НВ; нейтральні";"НВ; негативні";"Gazeta.ua; позитивні";"Gazeta.ua; нейтральні";"Gazeta.ua; негативні";"Zaxid.net; позитивні";"Zaxid.net; нейтральні";"Zaxid.net; негативні";"Суспільне; позитивні";"Суспільне; нейтральні";"Суспільне; негативні";"Укрінформ; позитивні";"Укрінформ; нейтральні";"Укрінформ; негативні";"ГолосUA; позитивні";"ГолосUA; нейтральні";"ГолосUA; негативні";"Букви; позитивні";"Букви; нейтральні";"Букви; негативні";"КП в Украине; позитивні";"КП в Украине; нейтральні";"КП в Украине; негативні";"Факти; позитивні";"Факти; нейтральні";"Факти; негативні";"Телеграф; позитивні";"Телеграф; нейтральні";"Телеграф; негативні";"Вести; позитивні";"Вести; нейтральні";"Вести; негативні";"Еспресо ТВ; позитивні";"Еспресо ТВ; нейтральні";"Еспресо ТВ; негативні";"Бабель; позитивні";"Бабель; нейтральні";"Бабель; негативні"
d_shmyhal;Денис Шмигаль;9;22;6;4;30;9;0;1;0;0;19;12;5;24;9;9;43;25;6;30;9;3;23;6;2;17;2;0;8;2;6;18;9;4;18;11;3;33;6;2;8;1;11;40;8;3;10;4;1;7;2;8;9;5;6;19;4;0;19;3;0;10;5;2;18;17;1;12;21;1;7;2;1;17;1;8;46;13;24;25;8;5;18;1;0;7;2;14;20;6;4;13;3;1;1;0;2;10;0;13;43;10;9;29;7;1;7;3;6;12;3;1;10;0;1;6;2;16;27;4;2;15;2;1;6;0
v_zelenskyi;Володимир Зеленський;6;19;4;4;22;7;2;2;2;2;10;0;1;24;2;6;36;13;9;40;3;7;21;2;2;12;1;1;3;0;5;20;6;5;30;2;6;32;3;1;10;5;11;22;5;1;9;0;1;5;1;5;7;2;17;12;6;0;15;3;6;16;3;7;19;12;5;14;7;0;9;2;1;8;1;18;57;15;8;23;3;5;18;2;0;4;0;14;31;7;0;15;3;1;2;1;3;6;1;12;32;3;5;12;3;6;11;4;10;14;3;1;5;2;2;2;5;10;34;3;3;12;1;1;5;1
s_marchenko;Сергій Марченко;2;10;1;2;6;3;1;1;1;3;6;0;2;6;6;2;4;4;1;14;2;1;6;2;1;2;1;1;2;1;13;6;2;1;16;3;2;3;0;0;0;0;0;5;1;0;2;0;0;1;1;2;1;2;0;6;0;1;4;0;2;5;3;0;5;0;0;2;0;0;0;0;0;2;0;6;10;1;4;8;1;1;6;0;0;1;0;5;9;1;1;3;1;0;0;0;0;1;2;4;20;2;1;4;0;2;1;1;1;1;1;0;2;0;0;3;0;2;4;0;0;7;0;1;2;0
m_lazebna;Марина Лазебна;0;4;0;1;16;2;1;1;0;2;8;1;0;5;3;1;14;4;1;7;1;0;5;0;0;2;0;0;3;0;0;5;0;0;5;3;0;3;0;0;6;1;1;11;0;0;1;0;0;1;0;0;3;0;1;1;2;0;3;2;0;7;1;2;15;2;0;2;1;0;1;0;1;3;1;1;19;2;3;6;2;0;5;1;0;3;0;3;3;3;1;2;1;0;0;0;1;1;0;0;3;2;2;6;2;0;1;0;1;2;1;0;6;0;0;1;0;4;6;2;1;4;3;0;1;0
y_vitrenko;Юрій Вітренко;1;4;2;1;2;3;0;0;0;0;5;0;0;10;0;0;6;4;0;3;2;1;3;1;0;7;0;0;0;0;1;3;2;0;11;1;0;0;0;0;2;0;3;2;8;0;3;4;0;0;0;1;6;0;4;10;1;0;2;1;1;5;0;2;5;4;1;4;3;0;1;0;0;2;1;1;10;3;1;3;1;1;4;0;0;1;0;3;4;2;0;1;0;0;1;0;0;3;0;3;5;1;1;6;1;0;0;0;1;0;0;1;1;0;0;0;0;2;7;1;0;2;1;0;2;0
v_kryklii;Владислав Криклій;4;9;0;2;5;0;0;0;0;0;3;0;2;8;1;2;6;0;2;3;0;1;11;1;0;2;0;0;0;0;0;1;0;1;3;0;0;1;0;0;1;1;0;4;0;1;2;0;0;1;0;0;2;0;2;3;0;0;1;0;1;4;0;4;4;0;0;5;0;0;2;0;1;3;0;2;6;0;0;1;0;2;4;0;0;0;0;3;4;0;1;1;0;0;1;0;0;3;0;3;21;0;0;3;0;1;2;0;0;0;0;0;0;1;0;0;0;0;4;0;2;6;0;0;1;0
d_hetmantsev;Данило Гетманцев;0;0;0;0;2;3;0;0;0;0;1;1;0;4;0;4;3;4;2;4;3;0;1;1;0;1;0;0;1;0;0;4;0;2;1;2;1;0;0;2;2;1;1;4;2;1;0;1;0;0;0;0;1;1;1;4;1;1;3;1;0;0;1;1;2;3;0;2;2;0;0;0;1;0;0;5;20;6;2;4;2;0;1;0;0;0;0;0;4;3;0;1;3;0;0;0;0;1;0;0;1;0;0;2;2;1;1;2;0;1;2;0;0;3;2;0;0;7;6;2;1;2;1;0;0;0
i_petrashko;Ігор Петрашко;4;6;1;0;5;0;1;0;0;0;2;0;0;3;0;1;4;2;0;7;0;2;6;1;0;2;1;0;0;0;0;0;0;1;1;0;0;7;0;0;0;0;0;3;1;0;1;0;0;1;0;0;0;0;1;5;0;0;2;1;1;3;0;1;2;0;1;1;0;0;0;0;0;1;1;7;6;1;0;3;1;0;5;1;0;0;0;0;3;1;1;1;0;0;0;0;0;2;0;4;12;1;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;3;0;1;3;1;0;0;0
o_danilov;Олексій Данілов;0;3;0;0;4;0;0;0;0;0;0;0;0;4;1;0;1;0;0;3;0;0;2;0;0;1;0;0;0;0;0;1;0;0;2;0;0;1;0;0;0;0;2;5;4;0;1;0;0;2;0;0;2;0;0;2;3;0;0;0;2;2;0;0;1;1;0;1;1;0;1;0;0;1;0;0;6;1;0;6;1;0;0;0;0;1;0;2;10;1;0;0;0;0;1;1;0;0;0;0;0;2;0;5;1;0;0;0;0;0;2;0;0;0;0;1;1;2;5;0;0;0;0;0;0;0
v_medvedchuk;Віктор Медведчук;0;2;1;0;1;0;1;2;0;0;1;0;1;5;0;1;4;1;1;1;1;0;0;0;0;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;2;1;0;0;0;1;0;0;0;0;3;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2;0;0;1;2;0;0;0;1;0;0;1;6;8;1;1;1;0;0;0;1;1;0;0;0;2;0;0;2;0;0;0;0;0;1;1;0;0;0;1;0;0;1;2;2;1;0;1;1;0
