image_name,name,Економічна правда; позитивні,Економічна правда; нейтральні,Економічна правда; негативні,РБК-Україна; позитивні,РБК-Україна; нейтральні,РБК-Україна; негативні,Українська правда; позитивні,Українська правда; нейтральні,Українська правда; негативні,ZIK; позитивні,ZIK; нейтральні,ZIK; негативні,LIGA.net; позитивні,LIGA.net; нейтральні,LIGA.net; негативні,Obozrevatel; позитивні,Obozrevatel; нейтральні,Obozrevatel; негативні,24 канал; позитивні,24 канал; нейтральні,24 канал; негативні,УНІАН; позитивні,УНІАН; нейтральні,УНІАН; негативні,LB.ua; позитивні,LB.ua; нейтральні,LB.ua; негативні,ТСН; позитивні,ТСН; нейтральні,ТСН; негативні,Сьогодні; позитивні,Сьогодні; нейтральні,Сьогодні; негативні,Гордон; позитивні,Гордон; нейтральні,Гордон; негативні,УНН; позитивні,УНН; нейтральні,УНН; негативні,Апостроф; позитивні,Апостроф; нейтральні,Апостроф; негативні,Українські новини; позитивні,Українські новини; нейтральні,Українські новини; негативні,Страна.ua; позитивні,Страна.ua; нейтральні,Страна.ua; негативні,Радіо Свобода; позитивні,Радіо Свобода; нейтральні,Радіо Свобода; негативні,Фокус; позитивні,Фокус; нейтральні,Фокус; негативні,Інтерфакс-Україна; позитивні,Інтерфакс-Україна; нейтральні,Інтерфакс-Україна; негативні,112.ua; позитивні,112.ua; нейтральні,112.ua; негативні,ZN.UA; позитивні,ZN.UA; нейтральні,ZN.UA; негативні,Znaj.ua; позитивні,Znaj.ua; нейтральні,Znaj.ua; негативні,Politeka; позитивні,Politeka; нейтральні,Politeka; негативні,Громадське; позитивні,Громадське; нейтральні,Громадське; негативні,Факти ICTV; позитивні,Факти ICTV; нейтральні,Факти ICTV; негативні,Главком; позитивні,Главком; нейтральні,Главком; негативні,Цензор.НЕТ; позитивні,Цензор.НЕТ; нейтральні,Цензор.НЕТ; негативні,Корреспондент.net; позитивні,Корреспондент.net; нейтральні,Корреспондент.net; негативні,Вголос; позитивні,Вголос; нейтральні,Вголос; негативні,НВ; позитивні,НВ; нейтральні,НВ; негативні,Gazeta.ua; позитивні,Gazeta.ua; нейтральні,Gazeta.ua; негативні,Zaxid.net; позитивні,Zaxid.net; нейтральні,Zaxid.net; негативні,Суспільне; позитивні,Суспільне; нейтральні,Суспільне; негативні,Укрінформ; позитивні,Укрінформ; нейтральні,Укрінформ; негативні,ГолосUA; позитивні,ГолосUA; нейтральні,ГолосUA; негативні,Букви; позитивні,Букви; нейтральні,Букви; негативні,КП в Украине; позитивні,КП в Украине; нейтральні,КП в Украине; негативні,Факти; позитивні,Факти; нейтральні,Факти; негативні,Телеграф; позитивні,Телеграф; нейтральні,Телеграф; негативні,Вести; позитивні,Вести; нейтральні,Вести; негативні,Еспресо ТВ; позитивні,Еспресо ТВ; нейтральні,Еспресо ТВ; негативні,Бабель; позитивні,Бабель; нейтральні,Бабель; негативні
v_zelenskyi,Володимир Зеленський,0,0,1,0,3,7,0,3,2,0,2,5,2,11,11,1,3,9,3,22,21,4,23,20,0,3,4,0,1,1,0,10,9,1,8,7,0,5,10,0,0,7,0,5,9,3,12,15,1,1,8,1,5,5,0,5,7,0,6,5,0,12,8,2,5,3,0,2,0,0,8,4,0,1,3,7,126,101,5,11,19,0,5,5,0,4,1,4,15,12,1,13,4,0,2,3,0,5,5,0,9,6,1,4,7,2,24,8,1,3,10,1,1,4,1,7,8,4,13,23,0,4,4,0,5,2
a_herashchenko,Антон Геращенко,0,0,1,0,2,4,0,4,2,0,2,3,2,4,10,0,14,12,0,9,8,0,13,10,0,6,5,0,1,2,0,6,4,4,25,15,1,16,23,0,1,0,0,3,7,2,14,18,0,1,3,1,4,7,0,6,12,0,4,4,0,2,9,0,0,3,1,1,1,0,0,7,0,1,9,1,10,15,3,6,17,0,6,5,1,1,3,2,6,16,0,3,8,0,0,5,0,4,3,0,4,10,0,4,1,0,11,4,2,2,10,0,1,1,0,2,5,2,6,18,0,0,2,0,4,4
a_avakov,Арсен Аваков,0,0,0,0,1,2,0,8,2,0,1,1,1,2,2,0,0,1,1,9,9,1,19,13,0,1,0,0,0,0,0,2,2,4,20,9,1,3,0,1,1,1,0,1,4,0,5,6,1,10,5,0,3,1,0,3,1,0,3,2,0,8,6,0,0,0,0,0,0,0,4,5,1,1,0,1,13,11,2,7,5,0,4,1,1,1,1,2,6,3,1,6,2,0,3,4,0,1,1,0,15,3,0,2,1,2,28,6,0,0,5,0,1,0,0,4,2,2,5,7,0,1,1,0,5,4
i_venediktova,Ірина Венедіктова,0,0,1,0,0,3,0,6,2,0,0,1,1,1,0,0,2,2,1,9,5,1,20,15,0,1,2,0,0,1,0,2,2,3,25,8,0,3,2,0,0,3,1,0,2,0,0,2,1,11,8,0,2,0,0,0,3,0,0,1,0,11,9,0,0,0,0,0,0,0,2,2,0,2,1,1,4,7,0,5,1,0,3,2,0,0,1,0,1,1,0,7,6,0,3,3,0,2,2,0,7,3,0,2,1,0,4,0,0,0,0,0,0,0,0,1,1,0,2,0,0,2,3,0,3,2
v_medvedchuk,Віктор Медведчук,0,0,2,0,1,6,0,1,6,0,0,4,0,1,1,0,5,4,1,1,9,1,3,7,0,5,4,0,0,1,1,1,4,0,3,6,0,0,0,0,4,8,0,0,1,0,1,1,0,1,1,1,2,3,0,0,4,0,0,3,0,0,4,0,0,1,0,0,0,0,4,5,0,1,3,0,3,5,1,3,1,0,2,4,0,1,2,1,2,2,0,3,4,0,0,4,0,2,6,0,3,1,1,1,0,0,2,1,0,1,1,0,0,2,2,1,1,1,2,0,0,2,6,0,2,5
d_kuleba,Дмитро Кулеба,0,0,0,0,1,0,0,1,1,0,1,1,0,3,1,1,4,1,0,5,4,0,1,2,0,0,2,0,2,1,0,2,1,0,2,0,0,10,10,0,0,1,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,2,0,0,2,0,2,1,1,1,0,0,4,3,0,6,4,0,3,3,0,1,0,0,2,5,0,5,1,0,3,1,0,3,0,0,3,4,0,0,1,0,1,3,0,2,2,1,0,2,0,1,2,0,1,0,0,0,2,0,2,1
o_nikolenko,Олег Ніколенко,0,0,0,0,1,3,0,0,1,0,1,1,0,0,1,0,1,2,0,3,4,1,0,3,0,0,1,0,0,2,0,2,3,0,2,4,0,4,3,0,0,0,0,4,2,0,1,2,0,0,2,0,0,3,0,2,3,0,1,4,0,0,2,5,12,7,0,0,2,0,2,2,0,2,1,0,2,1,0,0,6,0,1,0,0,0,2,0,1,2,0,2,4,0,1,1,0,3,0,0,1,0,1,1,2,0,0,1,0,1,3,0,0,1,0,0,1,0,1,2,0,1,1,0,1,1
p_poroshenko,Петро Порошенко,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,8,7,0,0,0,0,1,0,0,0,3,1,3,6,0,6,2,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,3,0,0,1,0,0,1,0,4,8,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,5,1,0,0,1,0,0,0,0,0,2,1,4,11,0,1,0,0,5,1
a_portnov,Андрій Портнов,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,3,2,1,15,11,0,0,0,0,0,0,0,0,0,3,15,6,0,1,0,0,0,0,0,0,1,0,0,1,1,6,5,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,3,0,0,1,0,0,0,0,0,1,0,0,2,4,0,2,0,0,1,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o_tatarov,Олег Татаров,0,1,0,0,0,0,0,3,1,0,0,0,1,3,1,0,1,1,0,2,7,0,0,0,0,1,1,0,0,0,0,1,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,2,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,1,2,0,0,0,0,1,1,0,1,0,0,5,4,0,0,0,0,1,1,0,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0
