image_name;name;"Економічна правда; позитивні";"Економічна правда; нейтральні";"Економічна правда; негативні";"РБК-Україна; позитивні";"РБК-Україна; нейтральні";"РБК-Україна; негативні";"Українська правда; позитивні";"Українська правда; нейтральні";"Українська правда; негативні";"ZIK; позитивні";"ZIK; нейтральні";"ZIK; негативні";"LIGA.net; позитивні";"LIGA.net; нейтральні";"LIGA.net; негативні";"Obozrevatel; позитивні";"Obozrevatel; нейтральні";"Obozrevatel; негативні";"24 канал; позитивні";"24 канал; нейтральні";"24 канал; негативні";"УНІАН; позитивні";"УНІАН; нейтральні";"УНІАН; негативні";"LB.ua; позитивні";"LB.ua; нейтральні";"LB.ua; негативні";"ТСН; позитивні";"ТСН; нейтральні";"ТСН; негативні";"Сьогодні; позитивні";"Сьогодні; нейтральні";"Сьогодні; негативні";"Гордон; позитивні";"Гордон; нейтральні";"Гордон; негативні";"УНН; позитивні";"УНН; нейтральні";"УНН; негативні";"Апостроф; позитивні";"Апостроф; нейтральні";"Апостроф; негативні";"Українські новини; позитивні";"Українські новини; нейтральні";"Українські новини; негативні";"Страна.ua; позитивні";"Страна.ua; нейтральні";"Страна.ua; негативні";"Радіо Свобода; позитивні";"Радіо Свобода; нейтральні";"Радіо Свобода; негативні";"Фокус; позитивні";"Фокус; нейтральні";"Фокус; негативні";"Інтерфакс-Україна; позитивні";"Інтерфакс-Україна; нейтральні";"Інтерфакс-Україна; негативні";"112.ua; позитивні";"112.ua; нейтральні";"112.ua; негативні";"ZN.UA; позитивні";"ZN.UA; нейтральні";"ZN.UA; негативні";"Znaj.ua; позитивні";"Znaj.ua; нейтральні";"Znaj.ua; негативні";"Politeka; позитивні";"Politeka; нейтральні";"Politeka; негативні";"Громадське; позитивні";"Громадське; нейтральні";"Громадське; негативні";"Факти ICTV; позитивні";"Факти ICTV; нейтральні";"Факти ICTV; негативні";"Главком; позитивні";"Главком; нейтральні";"Главком; негативні";"Цензор.НЕТ; позитивні";"Цензор.НЕТ; нейтральні";"Цензор.НЕТ; негативні";"Корреспондент.net; позитивні";"Корреспондент.net; нейтральні";"Корреспондент.net; негативні";"Вголос; позитивні";"Вголос; нейтральні";"Вголос; негативні";"НВ; позитивні";"НВ; нейтральні";"НВ; негативні";"Gazeta.ua; позитивні";"Gazeta.ua; нейтральні";"Gazeta.ua; негативні";"Zaxid.net; позитивні";"Zaxid.net; нейтральні";"Zaxid.net; негативні";"Суспільне; позитивні";"Суспільне; нейтральні";"Суспільне; негативні";"Укрінформ; позитивні";"Укрінформ; нейтральні";"Укрінформ; негативні";"ГолосUA; позитивні";"ГолосUA; нейтральні";"ГолосUA; негативні";"Букви; позитивні";"Букви; нейтральні";"Букви; негативні";"КП в Украине; позитивні";"КП в Украине; нейтральні";"КП в Украине; негативні";"Факти; позитивні";"Факти; нейтральні";"Факти; негативні";"Телеграф; позитивні";"Телеграф; нейтральні";"Телеграф; негативні";"Вести; позитивні";"Вести; нейтральні";"Вести; негативні";"Еспресо ТВ; позитивні";"Еспресо ТВ; нейтральні";"Еспресо ТВ; негативні";"Бабель; позитивні";"Бабель; нейтральні";"Бабель; негативні"
v_zelenskyi;Володимир Зеленський;2;16;1;25;139;50;27;60;32;16;66;84;20;70;54;44;157;62;75;244;133;40;102;34;22;73;35;3;24;11;31;77;35;76;206;91;41;122;70;21;61;43;49;87;55;51;127;67;18;63;28;35;87;27;60;101;49;24;106;104;50;109;65;30;76;34;10;36;24;9;26;21;17;55;19;60;186;99;104;150;93;24;65;45;5;41;14;67;110;91;33;116;64;8;30;17;10;86;21;71;162;61;77;90;99;16;87;54;56;94;51;21;33;28;23;50;66;72;173;130;29;100;57;16;48;22
v_medvedchuk;Віктор Медведчук;0;2;0;2;37;10;3;17;10;5;30;65;2;8;27;9;36;32;15;80;41;8;33;16;1;13;7;0;8;4;1;10;7;7;71;29;5;7;6;5;21;18;6;22;9;4;23;11;3;18;6;11;23;19;3;28;12;6;39;63;7;29;26;0;3;3;0;3;4;2;6;10;0;4;0;8;51;43;6;34;34;1;4;2;1;8;1;19;53;31;4;32;21;1;7;10;1;8;6;4;25;7;35;37;64;2;13;10;14;22;21;2;16;8;13;30;29;22;60;38;3;16;17;0;22;11
p_poroshenko;Петро Порошенко;0;2;0;5;17;12;5;21;11;4;16;14;4;16;2;12;21;25;15;62;44;6;16;16;8;21;22;2;4;3;0;12;9;14;64;39;6;9;3;3;30;13;18;29;31;17;32;40;1;6;8;5;15;17;5;13;20;4;15;10;6;39;21;7;23;12;7;18;9;0;13;9;1;5;0;14;56;42;18;24;22;1;2;5;0;7;2;10;60;30;5;34;19;3;8;6;0;13;4;6;11;7;18;26;17;12;21;31;12;32;21;3;10;10;7;24;14;13;60;43;5;14;17;0;27;15
d_razumkov;Дмитро Разумков;0;3;0;5;48;5;2;18;2;1;13;2;5;11;2;1;22;8;7;38;8;4;27;4;8;26;1;1;4;3;1;13;3;9;39;8;10;41;1;2;9;1;12;25;4;6;23;11;0;10;1;11;15;8;13;44;4;1;34;2;6;25;4;4;9;6;1;7;5;1;5;1;0;15;1;3;30;5;16;38;12;2;16;5;0;6;4;7;22;3;2;38;4;2;2;0;2;10;0;6;68;8;8;21;2;4;26;1;7;20;4;2;1;1;3;8;4;15;43;5;3;23;6;0;10;2
o_danilov;Олексій Данілов;0;6;2;3;22;11;1;10;8;2;11;8;3;17;7;2;27;12;5;53;15;1;17;36;1;13;3;0;1;1;0;12;8;0;39;27;0;28;10;1;15;10;12;20;8;5;28;8;7;15;6;7;11;13;1;28;7;1;12;13;2;27;10;1;3;3;0;2;3;1;8;1;1;12;6;2;26;14;11;29;15;1;8;4;0;8;2;11;26;22;1;22;1;1;12;3;0;8;3;1;26;12;5;17;14;1;6;12;5;17;11;2;6;0;1;16;5;6;30;8;0;20;8;0;9;4
a_avakov;Арсен Аваков;0;0;0;2;23;5;4;9;12;1;2;1;1;9;3;4;20;16;7;31;27;4;10;8;2;7;3;1;7;5;2;9;7;9;36;18;5;3;3;0;4;0;12;18;5;6;18;9;1;3;2;6;10;4;5;8;7;3;8;2;5;21;11;0;6;1;0;4;1;0;4;7;2;5;2;5;30;23;11;16;8;0;2;2;0;3;3;7;10;7;3;25;18;0;6;2;2;4;4;6;16;5;2;7;6;2;6;11;6;15;3;2;7;3;5;4;1;10;16;7;3;13;7;5;18;9
o_korniienko;Олександр Корнієнко;2;2;0;8;24;4;0;15;4;0;5;0;2;11;7;1;14;5;5;41;4;2;16;8;2;16;6;1;4;3;2;12;4;9;25;11;1;15;9;0;3;1;1;14;9;5;29;4;1;11;1;4;15;2;8;25;7;1;8;4;1;16;8;0;4;0;0;2;0;0;4;4;0;6;2;4;17;11;10;34;6;2;6;0;0;9;0;3;44;11;3;14;2;0;4;0;2;12;3;2;26;6;3;6;1;0;15;3;5;16;5;2;3;0;0;4;1;11;29;6;2;13;1;2;14;3
a_yermak;Андрій Єрмак;0;1;0;2;11;6;4;6;5;1;4;3;0;6;7;2;9;10;6;41;16;2;7;4;3;4;5;0;2;0;1;10;5;5;16;24;0;5;7;3;11;2;5;5;5;7;16;6;4;2;1;4;15;11;0;9;5;2;7;7;3;14;8;0;10;4;2;7;2;1;2;1;0;4;2;4;38;13;8;30;18;2;4;5;0;1;1;8;26;19;3;14;9;0;6;2;0;4;5;3;12;9;3;9;7;5;16;15;1;11;3;4;3;6;1;6;17;7;20;11;4;6;14;1;8;5
d_shmyhal;Денис Шмигаль;0;7;3;3;30;2;3;9;1;0;9;4;1;6;1;4;25;7;10;28;12;3;7;0;2;8;2;0;0;0;2;11;3;6;19;17;8;32;12;1;4;4;8;11;7;2;7;5;1;3;1;2;7;1;6;20;4;3;23;5;4;15;2;3;24;5;2;16;5;0;1;0;0;12;2;4;25;3;3;21;2;4;13;1;0;2;0;5;14;6;5;12;5;0;2;0;1;15;3;24;39;6;4;7;5;2;2;0;3;17;2;0;1;0;1;1;2;8;14;8;3;18;7;0;3;0
s_marchenko;Сергій Марченко;0;1;0;1;14;1;1;4;2;2;16;13;1;7;4;4;16;1;5;41;12;3;22;5;0;5;1;0;1;3;1;2;0;3;38;6;3;1;7;1;8;0;0;10;1;0;7;2;0;4;3;2;20;2;0;8;2;2;25;10;1;8;20;1;0;0;0;0;2;0;5;3;0;2;0;2;36;13;5;14;5;0;3;0;0;3;0;5;28;6;0;13;4;0;4;2;0;4;0;2;22;0;7;11;6;0;7;1;4;16;3;2;1;0;6;17;3;10;24;6;0;9;4;0;5;2
