expert_id;image_name;name;112.ua;24 канал;Gazeta.ua;LB.ua;LIGA.net;Obozrevatel;Politeka;ZIK;ZN.UA;Zaxid.net;Znaj.ua;Інтерфакс-Україна;Апостроф;Бабель;Букви;Вголос;Вести;Главком;ГолосUA;Гордон;Громадське;Економічна правда;Еспресо ТВ;КП в Украине;Корреспондент.net;НВ;РБК-Україна;Радіо Свобода;Страна.ua;Суспільне;Сьогодні;ТСН;Телеграф;УНІАН;УНН;Українська правда;Українські новини;Укрінформ;Факти;Факти ICTV;Фокус;Цензор.НЕТ
43;y_butusov;Юрій Бутусов;0;7;14;3;9;8;1;1;5;1;0;3;5;3;5;0;9;15;0;17;2;0;5;3;2;4;0;1;2;0;2;0;4;1;0;0;2;2;8;1;2;8
136;r_bortnyk;Руслан Бортник;1;0;0;0;0;0;27;0;0;0;23;0;1;0;0;0;25;0;31;2;0;0;0;0;0;0;0;0;2;0;8;0;1;0;2;0;5;0;0;0;0;0
67;o_holubovska;Ольга Голубовська;3;0;1;0;1;16;1;1;1;0;0;0;2;0;0;0;10;1;19;2;0;0;2;2;4;4;2;0;2;1;4;4;2;9;16;0;3;1;2;2;1;4
124;b_kushniruk;Борис Кушнірук;0;1;3;0;0;22;20;0;0;0;20;0;3;0;0;0;0;13;1;12;0;0;0;1;0;0;11;0;0;0;4;0;0;0;1;0;2;0;0;0;0;5
215;o_ustenko;Олег Устенко;2;11;7;2;1;3;0;1;5;0;0;3;1;2;0;0;4;2;4;5;0;5;2;3;2;3;9;2;0;1;3;1;0;4;2;0;3;9;1;1;1;5
214;o_kushch;Олексій Кущ;1;0;3;0;0;2;30;0;0;0;25;0;0;0;0;0;4;1;2;0;0;0;0;17;0;0;1;0;1;0;7;0;2;1;0;0;4;0;0;1;1;0
408;n_vynohrad;Наталія Виноград;0;2;1;1;1;3;0;0;0;0;0;1;1;0;0;0;0;4;2;0;0;0;0;1;1;4;3;0;2;4;3;3;0;10;22;0;2;2;0;15;0;7
376;s_ryzhenko;Сергій Риженко;1;5;2;0;0;9;6;0;1;0;0;0;7;0;0;0;0;3;3;4;0;0;2;5;2;7;2;2;2;2;8;2;3;3;1;1;1;1;0;3;0;5
166;r_biziaiev;Руслан Бізяєв;0;0;0;0;0;0;32;0;0;0;28;0;0;0;0;0;1;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
134;o_pendzyn;Олег Пендзин;1;3;1;0;0;5;2;0;0;0;3;0;4;0;0;1;5;12;17;0;0;0;2;1;0;0;1;0;1;3;14;0;0;0;2;0;0;0;0;0;1;1
94;s_leshchenko;Сергій Лещенко;1;16;1;1;0;2;3;1;1;0;4;3;0;4;0;0;2;8;0;9;0;1;0;1;0;3;0;0;1;1;0;0;3;0;0;1;3;0;1;0;3;3
418;m_chaplyha;Михайло Чаплига;1;0;0;0;0;1;26;1;0;0;32;0;0;0;0;0;2;0;3;6;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
211;o_okhrimenko;Олександр Охріменко;0;0;1;0;0;1;7;0;0;0;10;0;2;0;0;1;1;9;12;2;0;0;0;4;0;0;1;0;0;1;9;0;1;2;7;0;3;0;0;0;0;0
189;a_shevchyshyn;Андрій Шевчишин;0;0;0;0;0;10;0;0;0;0;0;0;1;0;0;0;0;7;0;0;0;0;0;9;0;0;0;0;21;0;18;0;1;0;0;0;2;0;4;0;0;0
294;v_omelian;Володимир Омелян;0;0;0;0;0;15;14;0;0;0;16;0;0;0;1;0;0;7;0;1;0;0;2;0;0;0;4;0;0;0;2;0;0;0;6;0;0;0;0;0;0;0
777;o_danyliuk;Олександр Данилюк;3;2;3;1;1;1;0;2;1;1;0;5;0;0;0;1;2;2;1;3;0;3;1;2;2;7;2;0;2;1;3;0;3;1;0;1;1;1;1;1;2;4
1827;b_hodzhes;Бен Годжес;1;6;2;1;0;7;0;2;1;0;0;0;0;0;1;0;3;2;0;23;0;0;4;1;1;1;0;0;0;0;1;1;1;2;0;0;0;2;1;0;0;2
105480;y_balan;Юліан Балан;6;0;0;1;0;0;0;1;1;0;0;0;0;1;18;0;0;5;0;1;10;0;1;0;1;0;1;1;0;2;0;0;0;1;0;0;0;10;1;0;0;0
230;v_fesenko;Володимир Фесенко;0;6;1;0;0;1;1;1;0;0;1;0;3;0;0;0;6;2;8;0;0;0;0;1;2;3;2;0;0;1;17;1;0;0;0;0;0;0;0;3;0;0
390;r_kravets;Ростислав Кравець;0;3;0;0;1;0;0;1;0;1;0;0;1;1;0;0;9;0;10;0;0;0;0;5;0;0;0;0;11;1;1;0;1;0;3;0;3;0;1;0;4;0
111;d_hordon;Дмитро Гордон;0;1;1;0;0;5;7;0;0;0;9;0;0;1;2;0;1;2;0;11;0;0;0;0;0;0;0;0;0;0;5;0;4;0;0;0;2;0;0;0;4;1
2524;d_frid;Деніел Фрід;0;1;1;0;0;9;2;0;0;0;2;0;0;0;0;0;0;6;0;16;0;0;0;0;1;1;2;0;0;0;4;0;1;1;0;0;0;0;3;0;0;4
478;v_karasov;Вадим Карасьов;0;0;1;0;1;1;6;0;0;0;6;2;1;0;0;0;11;0;0;0;0;0;0;5;0;0;3;1;0;0;10;0;0;1;1;0;4;0;0;0;0;0
328;k_kotenkova;Катерина Котенкова;0;0;0;0;0;0;28;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
163;t_mylovanov;Тимофій Милованов;0;1;1;1;3;0;0;1;0;0;0;3;0;2;0;0;1;3;2;1;1;1;1;2;2;3;3;0;1;0;3;2;2;1;1;0;4;2;1;2;0;2
337;p_klimkin;Павло Клімкін;0;6;0;0;0;10;0;0;2;0;0;1;0;0;0;0;1;3;0;11;0;0;2;0;0;5;0;0;0;0;0;1;0;0;0;0;1;1;4;1;3;0
638;s_dubrov;Сергій Дубров;0;4;0;1;0;0;0;2;0;0;0;0;2;0;2;0;0;2;0;0;0;0;1;1;0;3;2;0;0;4;1;3;1;2;10;0;0;6;0;0;1;2
538;d_marunych;Дмитро Марунич;1;0;2;0;0;3;1;2;0;0;0;0;5;0;0;0;4;0;16;1;0;0;0;3;0;0;0;0;1;0;1;0;1;1;0;0;6;0;0;0;0;1
504;o_popenko;Олег Попенко;1;0;1;0;0;11;8;2;0;0;5;0;1;0;0;0;1;2;7;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;5;0;0;0;0;0
147;a_yatseniuk;Арсеній Яценюк;0;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;3;1;1;11;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;1;0;0;0;4
