expert_id;image_name;name;112.ua;24 канал;Gazeta.ua;LB.ua;LIGA.net;Obozrevatel;Politeka;ZIK;ZN.UA;Zaxid.net;Znaj.ua;Інтерфакс-Україна;Апостроф;Бабель;Букви;Вголос;Вести;Главком;ГолосUA;Гордон;Громадське;Економічна правда;Еспресо ТВ;КП в Украине;Корреспондент.net;НВ;РБК-Україна;Радіо Свобода;Страна.ua;Суспільне;Сьогодні;ТСН;Телеграф;УНІАН;УНН;Українська правда;Українські новини;Укрінформ;Факти;Факти ICTV;Фокус;Цензор.НЕТ
67;o_holubovska;Ольга Голубовська;3;0;1;0;1;15;1;1;1;0;0;0;2;0;0;0;10;1;17;2;0;0;2;1;4;4;2;0;2;1;4;4;2;9;15;0;3;1;2;2;1;4
376;s_ryzhenko;Сергій Риженко;1;5;2;0;0;9;5;0;1;0;0;0;7;0;0;0;0;3;2;4;0;0;2;5;2;7;2;2;2;2;8;2;3;3;1;1;1;1;0;3;0;4
408;n_vynohrad;Наталія Виноград;0;2;1;0;1;4;0;0;0;0;0;0;1;0;0;0;0;4;2;0;0;0;0;1;1;4;2;0;1;3;3;3;0;10;21;0;1;2;0;15;0;6
638;s_dubrov;Сергій Дубров;0;4;0;1;0;0;0;2;0;0;0;0;2;0;1;0;0;2;0;0;0;0;1;1;0;3;2;0;0;4;1;3;1;2;9;0;0;6;0;0;1;2
386;f_lapii;Федір Лапій;0;2;0;0;0;1;0;2;0;1;0;1;0;0;1;0;0;2;0;2;1;0;2;1;1;3;1;0;0;3;0;2;0;1;0;0;0;11;0;5;0;2
771;y_hanychenko;Юрій Ганиченко;1;2;1;1;0;2;0;1;0;0;0;1;0;0;0;0;0;2;2;3;0;0;2;0;1;0;6;0;2;2;3;0;0;5;0;0;0;0;0;6;0;2
75;y_komarovskyi;Євген Комаровський;0;0;1;0;0;0;0;1;0;0;0;0;2;0;0;0;3;3;11;2;0;0;0;5;1;0;0;0;2;0;0;2;2;0;0;0;1;1;2;0;1;0
524;y_istrebin;Євген Істребін;0;0;0;0;0;3;0;0;2;0;0;0;1;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0
704;v_kurpita;Володимир Курпіта;0;1;1;0;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;5;0;0;2;1;1;0;2;0;0;0;0;0;2;0;1
3848;s_dementiev;Сергій Дементьєв;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;17;0;0;1;1;0;0;0;0;0;0;0;0
