image_name;name;Українська правда:позитивні;Українська правда:нейтральні;Українська правда:негативні;Obozrevatel:позитивні;Obozrevatel:нейтральні;Obozrevatel:негативні;Економічна правда:позитивні;Економічна правда:нейтральні;Економічна правда:негативні;РБК-Україна:позитивні;РБК-Україна:нейтральні;РБК-Україна:негативні;LIGA.net:позитивні;LIGA.net:нейтральні;LIGA.net:негативні;Гордон:позитивні;Гордон:нейтральні;Гордон:негативні;УНН:позитивні;УНН:нейтральні;УНН:негативні;Радіо Свобода:позитивні;Радіо Свобода:нейтральні;Радіо Свобода:негативні;ZIK:позитивні;ZIK:нейтральні;ZIK:негативні;УНІАН:позитивні;УНІАН:нейтральні;УНІАН:негативні;LB.ua:позитивні;LB.ua:нейтральні;LB.ua:негативні;112.ua:позитивні;112.ua:нейтральні;112.ua:негативні;Сьогодні:позитивні;Сьогодні:нейтральні;Сьогодні:негативні;ТСН:позитивні;ТСН:нейтральні;ТСН:негативні;Апостроф:позитивні;Апостроф:нейтральні;Апостроф:негативні;Фокус:позитивні;Фокус:нейтральні;Фокус:негативні;Українські новини:позитивні;Українські новини:нейтральні;Українські новини:негативні;ZN.UA:позитивні;ZN.UA:нейтральні;ZN.UA:негативні;Еспресо ТВ:позитивні;Еспресо ТВ:нейтральні;Еспресо ТВ:негативні;Інтерфакс-Україна:позитивні;Інтерфакс-Україна:нейтральні;Інтерфакс-Україна:негативні;Gazeta.ua:позитивні;Gazeta.ua:нейтральні;Gazeta.ua:негативні;24 канал:позитивні;24 канал:нейтральні;24 канал:негативні;Politeka:позитивні;Politeka:нейтральні;Politeka:негативні;Вголос:позитивні;Вголос:нейтральні;Вголос:негативні;Страна.ua:позитивні;Страна.ua:нейтральні;Страна.ua:негативні;Znaj.ua:позитивні;Znaj.ua:нейтральні;Znaj.ua:негативні;Громадське:позитивні;Громадське:нейтральні;Громадське:негативні;Корреспондент.net:позитивні;Корреспондент.net:нейтральні;Корреспондент.net:негативні;Главком:позитивні;Главком:нейтральні;Главком:негативні;Укрінформ:позитивні;Укрінформ:нейтральні;Укрінформ:негативні;Суспільне:позитивні;Суспільне:нейтральні;Суспільне:негативні;Zaxid.net:позитивні;Zaxid.net:нейтральні;Zaxid.net:негативні;Бабель:позитивні;Бабель:нейтральні;Бабель:негативні;Букви:позитивні;Букви:нейтральні;Букви:негативні;Вести:позитивні;Вести:нейтральні;Вести:негативні;Телеграф:позитивні;Телеграф:нейтральні;Телеграф:негативні;КП в Украине:позитивні;КП в Украине:нейтральні;КП в Украине:негативні;ГолосUA:позитивні;ГолосUA:нейтральні;ГолосUA:негативні;Факти:позитивні;Факти:нейтральні;Факти:негативні;Факти ICTV:позитивні;Факти ICTV:нейтральні;Факти ICTV:негативні;НВ:позитивні;НВ:нейтральні;НВ:негативні;Цензор.НЕТ:позитивні;Цензор.НЕТ:нейтральні;Цензор.НЕТ:негативні
v_zelenskyi;Володимир Зеленський;0;1;1;3;3;4;9;6;8;4;7;3;1;0;4;2;9;5;2;1;8;0;3;2;0;3;5;8;5;3;1;5;2;3;2;1;4;7;4;1;1;0;2;5;4;2;2;4;7;7;3;2;3;3;3;5;2;7;4;2;2;5;4;7;2;10;0;1;6;0;1;1;5;2;6;2;2;4;0;3;0;4;6;6;3;8;6;10;5;5;2;5;1;0;1;0;1;0;2;1;0;1;9;2;5;2;0;2;2;1;2;6;3;5;1;2;3;2;2;2;10;5;12;12;3;5
d_shmyhal;Денис Шмигаль;2;0;0;1;7;5;5;6;5;5;11;2;1;5;2;3;8;3;3;4;5;1;2;0;1;4;1;4;7;1;2;3;0;1;11;3;4;7;4;0;1;0;3;2;0;2;0;1;4;4;2;4;2;3;6;9;0;6;11;0;2;3;0;3;8;1;0;3;7;0;1;1;4;3;1;0;6;4;2;0;0;3;4;2;7;11;12;17;14;8;2;4;2;0;1;1;1;2;0;0;5;0;15;0;0;1;1;0;4;2;1;5;0;1;1;4;0;1;8;2;8;3;1;18;5;6
s_marchenko;Сергій Марченко;0;0;0;1;4;5;2;2;3;1;1;0;2;1;2;2;0;0;3;0;0;0;1;0;0;0;1;2;1;0;2;1;1;0;0;0;2;3;2;0;0;0;0;0;3;0;2;0;2;2;2;1;1;0;3;1;0;1;1;1;0;2;1;3;8;5;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;3;1;4;0;0;3;3;1;0;0;0;0;0;0;0;0;0;0;1;1;3;0;0;1;0;0;0;0;1;1;1;1;0;0;0;0;2;1;5;5;3;5;2;0
y_vitrenko;Юрій Вітренко;0;0;0;0;0;1;0;2;2;0;2;0;0;2;2;1;0;4;0;0;3;0;2;1;0;1;0;2;0;2;1;1;1;0;0;0;0;4;1;0;0;0;0;0;1;0;0;1;1;4;1;0;2;1;0;1;1;3;3;7;0;2;1;1;2;5;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;1;1;2;6;2;1;1;0;0;1;0;0;0;0;1;1;0;0;0;1;0;1;1;0;1;2;0;0;0;1;2;0;0;1;0;3;2;2;1;5;0;1;2
d_hetmantsev;Данило Гетманцев;0;0;0;2;0;7;0;2;0;1;0;2;0;1;4;3;1;2;1;0;2;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;3;1;2;5;0;0;1;0;0;1;2;0;1;0;0;4;0;0;0;0;1;5;0;0;0;0;0;0;0;1;4;0;0;0;0;0;2;2;2;6;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;2;1;0;3;0;1;0;0;0;0;0;0;0;1;1;2;1;2;4
v_klychko;Віталій Кличко;0;1;0;0;1;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;1;2;1;1;0;0;2;0;0;0;0;0;2;0;1;0;0;4;3;4;0;1;0;0;1;0;0;3;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;1;1;3;2;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;4;0;0;0;0;2;0;1;1;1;3;1;2
m_lazebna;Марина Лазебна;0;0;1;0;1;2;0;1;1;0;1;0;1;5;1;1;1;1;0;0;1;0;0;0;0;1;4;0;0;3;0;0;0;0;1;0;0;1;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;2;1;0;0;0;0;0;0;1;0;2;3;4;0;2;1;0;0;0;0;0;0;2;2;3;0;0;0;0;1;1;0;1;1;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1
m_stepanov;Максим Степанов;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2;1;0;0;0;0;0;0;1;0;3;0;1;0;0;1;0;0;0;2;0;0;0;0;0;0;0;1;0;0;1;2;1;0;2;0;0;0;0;0;1;0;0;0;0;1;3;0;1;0;0;0;0;2;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;2;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;3;2;3;0;2;0;0;0;0;0;1;0;0;2;3;6;1
i_petrashko;Ігор Петрашко;0;0;0;0;2;1;2;2;0;0;1;0;1;3;4;0;0;1;1;0;0;0;0;0;0;0;0;3;1;0;0;1;0;0;2;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2;2;0;0;0;1;0;0;0;0;0;1;0;0;2;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;2;3;2;2;0;1;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0
v_kryklii;Владислав Криклій;0;1;0;1;1;1;1;1;0;1;0;1;1;1;0;2;2;0;0;0;1;0;1;0;1;0;2;1;4;2;0;1;0;0;0;1;0;1;0;0;0;0;2;1;0;0;0;0;0;1;0;0;0;0;2;1;1;1;1;0;0;0;0;1;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;3;0;1;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0
