image_name;name;"Українська правда; позитивні";"Українська правда; нейтральні";"Українська правда; негативні";"Obozrevatel; позитивні";"Obozrevatel; нейтральні";"Obozrevatel; негативні";"Економічна правда; позитивні";"Економічна правда; нейтральні";"Економічна правда; негативні";"РБК-Україна; позитивні";"РБК-Україна; нейтральні";"РБК-Україна; негативні";"LIGA.net; позитивні";"LIGA.net; нейтральні";"LIGA.net; негативні";"Гордон; позитивні";"Гордон; нейтральні";"Гордон; негативні";"УНН; позитивні";"УНН; нейтральні";"УНН; негативні";"Радіо Свобода; позитивні";"Радіо Свобода; нейтральні";"Радіо Свобода; негативні";"ZIK; позитивні";"ZIK; нейтральні";"ZIK; негативні";"УНІАН; позитивні";"УНІАН; нейтральні";"УНІАН; негативні";"LB.ua; позитивні";"LB.ua; нейтральні";"LB.ua; негативні";"112.ua; позитивні";"112.ua; нейтральні";"112.ua; негативні";"Сьогодні; позитивні";"Сьогодні; нейтральні";"Сьогодні; негативні";"ТСН; позитивні";"ТСН; нейтральні";"ТСН; негативні";"Апостроф; позитивні";"Апостроф; нейтральні";"Апостроф; негативні";"Фокус; позитивні";"Фокус; нейтральні";"Фокус; негативні";"Українські новини; позитивні";"Українські новини; нейтральні";"Українські новини; негативні";"ZN.UA; позитивні";"ZN.UA; нейтральні";"ZN.UA; негативні";"Еспресо ТВ; позитивні";"Еспресо ТВ; нейтральні";"Еспресо ТВ; негативні";"Інтерфакс-Україна; позитивні";"Інтерфакс-Україна; нейтральні";"Інтерфакс-Україна; негативні";"Gazeta.ua; позитивні";"Gazeta.ua; нейтральні";"Gazeta.ua; негативні";"24 канал; позитивні";"24 канал; нейтральні";"24 канал; негативні";"Politeka; позитивні";"Politeka; нейтральні";"Politeka; негативні";"Вголос; позитивні";"Вголос; нейтральні";"Вголос; негативні";"Страна.ua; позитивні";"Страна.ua; нейтральні";"Страна.ua; негативні";"Znaj.ua; позитивні";"Znaj.ua; нейтральні";"Znaj.ua; негативні";"Громадське; позитивні";"Громадське; нейтральні";"Громадське; негативні";"Корреспондент.net; позитивні";"Корреспондент.net; нейтральні";"Корреспондент.net; негативні";"Главком; позитивні";"Главком; нейтральні";"Главком; негативні";"Укрінформ; позитивні";"Укрінформ; нейтральні";"Укрінформ; негативні";"Суспільне; позитивні";"Суспільне; нейтральні";"Суспільне; негативні";"Zaxid.net; позитивні";"Zaxid.net; нейтральні";"Zaxid.net; негативні";"Бабель; позитивні";"Бабель; нейтральні";"Бабель; негативні";"Букви; позитивні";"Букви; нейтральні";"Букви; негативні";"Вести; позитивні";"Вести; нейтральні";"Вести; негативні";"Телеграф; позитивні";"Телеграф; нейтральні";"Телеграф; негативні";"КП в Украине; позитивні";"КП в Украине; нейтральні";"КП в Украине; негативні";"ГолосUA; позитивні";"ГолосUA; нейтральні";"ГолосUA; негативні";"Факти; позитивні";"Факти; нейтральні";"Факти; негативні";"Факти ICTV; позитивні";"Факти ICTV; нейтральні";"Факти ICTV; негативні";"НВ; позитивні";"НВ; нейтральні";"НВ; негативні";"Цензор.НЕТ; позитивні";"Цензор.НЕТ; нейтральні";"Цензор.НЕТ; негативні"
v_zelenskyi;Володимир Зеленський;15;42;39;30;76;107;4;4;6;22;66;86;19;24;51;24;54;127;23;50;92;9;24;39;9;59;146;17;51;70;14;37;48;17;69;150;23;35;69;7;13;22;8;29;36;19;27;35;39;43;54;20;32;67;16;35;57;39;66;55;18;48;85;42;65;190;2;8;30;4;22;21;46;40;78;21;34;38;11;6;18;19;34;46;43;57;138;39;76;68;5;23;33;5;10;25;6;40;29;11;21;75;83;50;106;37;46;64;35;20;38;48;38;95;6;30;29;18;41;36;34;36;114;70;60;81
v_medvedchuk;Віктор Медведчук;2;2;2;4;5;9;0;2;0;1;4;6;3;6;13;0;10;26;1;1;1;1;4;5;5;30;87;4;6;7;2;2;1;5;19;71;0;2;6;1;1;1;1;3;2;3;5;11;1;1;3;3;10;28;2;6;5;0;3;6;3;3;11;4;12;24;2;2;2;0;1;0;1;1;5;1;1;0;0;5;2;1;0;0;3;4;13;4;4;8;0;3;3;2;3;5;1;2;2;0;2;8;35;24;55;7;24;44;4;4;8;24;15;59;1;1;6;0;1;1;5;3;29;4;4;16
p_poroshenko;Петро Порошенко;1;4;5;10;6;21;0;0;0;1;4;10;2;2;1;2;5;18;0;1;15;0;0;2;0;3;14;2;0;2;5;3;12;0;4;11;4;1;4;1;2;1;2;2;10;5;2;5;3;2;4;0;2;10;3;9;8;6;5;10;5;9;15;6;5;17;1;3;9;0;0;0;9;3;19;4;5;7;0;2;6;1;3;2;6;7;20;1;2;9;1;0;3;2;0;6;0;2;5;4;6;16;11;8;18;0;2;2;1;1;6;3;2;10;2;0;1;2;1;0;8;5;17;14;6;13
y_vitrenko;Юрій Вітренко;0;3;1;3;6;5;2;8;3;0;15;9;2;5;5;3;11;11;5;6;7;0;3;3;1;4;0;0;7;2;4;11;8;2;7;2;1;5;2;0;3;2;2;4;5;3;6;4;4;8;4;1;5;6;0;1;4;3;2;9;0;4;1;1;12;19;0;0;1;0;2;0;2;4;9;0;1;0;3;2;0;1;5;2;2;5;11;3;7;2;1;1;1;1;2;3;0;2;1;1;3;0;12;9;7;2;4;6;3;3;6;2;3;3;2;3;0;0;3;2;9;12;18;6;7;5
m_stepanov;Максим Степанов;1;4;2;2;7;5;0;1;1;0;12;6;2;4;1;1;8;9;8;21;14;0;4;2;0;2;0;0;9;6;0;8;5;0;7;0;0;3;5;1;3;1;2;4;3;0;3;2;1;3;1;2;4;4;0;12;5;0;9;4;1;4;5;4;6;20;0;0;0;0;4;1;4;5;5;0;6;1;0;1;1;0;3;4;5;6;8;0;11;1;2;2;1;0;2;2;1;4;3;1;5;2;14;8;9;0;3;2;2;2;8;4;7;8;0;0;2;0;4;4;2;4;13;5;14;11
d_razumkov;Дмитро Разумков;0;5;5;4;4;6;0;0;0;3;6;3;1;1;3;3;7;10;2;11;5;0;4;0;0;3;2;3;11;4;1;9;3;0;4;4;1;4;4;1;0;0;1;2;4;4;5;2;2;8;5;0;4;2;1;2;4;4;10;10;2;7;3;2;4;9;0;1;0;0;1;3;1;4;5;2;6;5;0;0;1;1;3;3;3;15;6;6;31;15;1;0;2;0;2;0;1;3;2;0;2;1;11;8;5;1;2;3;5;6;3;1;4;3;0;1;2;1;3;1;3;1;6;9;23;9
a_yermak;Андрій Єрмак;1;7;2;2;3;7;0;0;0;1;3;5;1;1;3;1;4;13;2;2;1;0;1;2;0;0;1;0;2;6;0;0;3;0;3;2;1;1;3;0;0;1;2;0;3;1;4;5;2;3;3;3;2;4;1;5;5;4;8;6;1;6;7;1;11;11;0;1;1;0;0;1;6;6;7;0;3;0;2;0;0;3;4;3;8;5;12;4;7;6;2;0;3;0;2;0;0;1;2;0;0;6;9;3;4;2;4;5;5;1;1;2;3;2;0;2;3;1;1;4;2;1;7;8;9;6
d_kuleba;Дмитро Кулеба;1;4;2;1;5;16;0;0;0;1;8;13;1;2;4;1;4;8;1;7;16;0;4;1;0;4;2;0;5;8;1;6;6;1;0;4;0;5;3;1;1;3;0;0;1;0;1;0;1;0;0;0;4;7;1;8;13;4;13;11;0;3;6;3;4;8;0;0;0;0;0;5;0;0;4;0;0;0;2;1;2;0;5;5;1;3;9;4;7;17;1;1;3;0;2;1;1;5;2;1;0;4;0;1;2;0;0;0;2;0;2;0;0;0;0;2;0;0;4;8;1;2;2;1;1;5
y_tymoshenko;Юлія Тимошенко;0;3;0;10;11;9;0;0;0;4;15;6;2;3;0;0;4;4;1;1;1;1;1;0;0;1;0;3;1;0;4;8;3;0;3;0;0;2;1;1;1;2;5;9;6;2;2;1;1;3;1;0;2;1;0;1;0;4;3;5;1;4;4;4;1;11;0;4;10;0;1;0;2;1;1;3;11;6;0;0;0;0;2;0;4;1;5;1;6;2;0;0;1;1;0;1;0;3;0;1;2;0;5;1;4;0;1;0;3;1;1;4;1;0;1;0;3;0;1;1;5;2;4;8;8;1
d_shmyhal;Денис Шмигаль;3;2;1;1;6;1;3;2;0;6;9;3;0;0;2;1;3;3;3;4;1;0;2;1;4;3;2;1;4;1;2;2;2;2;5;1;2;1;3;1;2;2;1;2;0;2;1;0;1;2;2;0;3;7;2;7;0;5;7;1;1;1;2;6;5;7;1;1;1;0;0;1;1;1;1;0;3;0;0;0;0;4;2;0;4;3;11;12;6;2;0;2;1;0;1;1;2;1;0;2;3;2;3;0;3;0;0;1;2;2;1;3;0;4;3;1;0;1;1;0;2;4;6;5;1;3
