expert_id;image_name;name;112.ua;24 канал;Gazeta.ua;LB.ua;LIGA.net;Obozrevatel;Politeka;ZIK;ZN.UA;Zaxid.net;Znaj.ua;Інтерфакс-Україна;Апостроф;Бабель;Букви;Вголос;Вести;Главком;ГолосUA;Гордон;Громадське;Економічна правда;Еспресо ТВ;КП в Украине;Корреспондент.net;НВ;РБК-Україна;Радіо Свобода;Страна.ua;Суспільне;Сьогодні;ТСН;Телеграф;УНІАН;УНН;Українська правда;Українські новини;Укрінформ;Факти;Факти ICTV;Фокус;Цензор.НЕТ
134;o_pendzyn;Олег Пендзин;0;3;1;0;0;6;4;0;0;0;4;0;6;0;0;1;1;42;28;3;0;0;1;1;1;0;0;0;0;1;11;1;2;3;1;0;1;0;1;2;0;1
554;s_kuiun;Сергій Куюн;2;7;1;0;1;5;2;0;3;0;2;0;2;0;0;0;4;3;4;0;0;0;1;3;0;1;1;1;5;0;9;0;2;0;1;0;11;0;2;1;1;1
189;a_shevchyshyn;Андрій Шевчишин;0;0;1;0;0;12;1;0;0;0;0;0;3;0;0;0;1;7;0;0;0;0;0;5;0;0;0;0;18;0;15;0;2;1;0;0;3;0;3;0;0;0
214;o_kushch;Олексій Кущ;0;0;2;0;0;2;16;0;0;0;15;0;2;0;0;0;1;4;1;1;0;0;0;12;0;0;0;0;1;0;1;2;6;1;0;0;0;0;0;1;1;1
124;b_kushniruk;Борис Кушнірук;0;2;0;0;0;13;15;0;0;0;11;0;2;0;0;0;0;8;0;1;0;0;1;0;0;0;5;0;0;0;3;1;0;1;0;0;1;0;0;0;0;4
504;o_popenko;Олег Попенко;0;0;0;0;0;11;11;1;0;0;6;0;4;0;0;0;6;2;8;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;2;0;0;0;1;0
1907;v_nevmerzhytskyi;Василь Невмержицький;0;0;0;0;0;3;1;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;21;0;0;0;0;0
635;o_doroshenko;Олексій Дорошенко;0;1;2;0;0;7;2;0;0;0;1;0;2;0;0;0;2;7;7;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;6;0;0;0;0;1
211;o_okhrimenko;Олександр Охріменко;0;1;2;0;0;0;1;0;0;0;0;0;2;0;0;0;1;7;8;0;0;0;0;3;0;0;0;0;0;0;8;1;5;0;1;0;0;0;0;0;0;0
105481;e_naiman;Ерік Найман;0;0;0;0;0;5;7;0;0;0;7;0;0;0;0;0;0;8;0;4;0;0;0;0;0;0;2;0;0;0;2;0;0;1;0;0;0;0;0;0;0;2
464;t_zahorodnii;Тарас Загородній;0;0;0;0;0;0;19;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2100;v_husak;Володимир Гусак;0;0;1;0;0;6;5;0;0;0;5;0;1;0;0;0;0;6;0;7;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;2
256;o_kalenkov;Олександр Каленков;0;3;1;0;0;3;4;0;0;0;4;0;0;0;0;0;0;4;0;1;0;0;0;1;0;1;2;0;0;0;1;0;0;6;0;0;1;0;1;0;0;4
239;v_iosub;Вадим Іосуб;0;0;3;0;0;4;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;7;0;0;5;0;2;0;0;0;5;0;0;0;2;0;3;0;0;0
328;k_kotenkova;Катерина Котенкова;0;0;0;0;0;0;16;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
215;o_ustenko;Олег Устенко;0;3;1;1;0;3;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;0;2;1;0;1;1;0;0;0;2;0;0;0;0;1;4;0;2;0;0
576;y_korolchuk;Юрій Корольчук;0;0;1;0;0;9;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;2;0;0;0;0;1;2;0;1;2;0;0;0;1;0;0;0;0;0
147;a_yatseniuk;Арсеній Яценюк;0;0;0;0;0;2;2;0;0;1;2;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;2;0;1;0;4;0;0;0;0;0;0;0;0;0;0;3
377;s_fursa;Сергій Фурса;0;5;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;3;0;0;0;0;2;0;1;1;0;0;0;1;0;0;0;1
