expert_id;image_name;name;112.ua;24 канал;Gazeta.ua;LB.ua;LIGA.net;Obozrevatel;Politeka;ZIK;ZN.UA;Zaxid.net;Znaj.ua;Інтерфакс-Україна;Апостроф;Бабель;Букви;Вголос;Вести;Главком;ГолосUA;Гордон;Громадське;Економічна правда;Еспресо ТВ;КП в Украине;Корреспондент.net;НВ;РБК-Україна;Радіо Свобода;Страна.ua;Суспільне;Сьогодні;ТСН;Телеграф;УНІАН;УНН;Українська правда;Українські новини;Укрінформ;Факти;Факти ICTV;Фокус;Цензор.НЕТ
43;y_butusov;Юрій Бутусов;0;8;4;2;2;6;2;0;4;0;3;1;0;1;2;0;2;5;3;7;1;1;1;4;2;6;0;1;1;0;2;1;5;0;0;1;2;3;1;0;3;9
111;d_hordon;Дмитро Гордон;2;1;1;0;0;3;0;1;1;1;0;0;1;0;3;0;5;1;2;12;1;0;0;3;0;7;0;1;4;0;6;2;4;4;0;0;0;0;0;0;4;3
373;r_riaboshapka;Руслан Рябошапка;0;20;2;0;0;0;0;0;0;0;0;0;3;0;3;1;3;9;0;9;0;0;5;1;0;1;0;4;1;0;0;0;1;0;0;1;1;0;0;0;0;6
136;r_bortnyk;Руслан Бортник;0;0;0;0;0;0;18;0;0;0;19;0;0;0;0;0;14;0;13;0;0;0;0;3;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0
163;t_mylovanov;Тимофій Милованов;0;8;1;0;0;2;0;0;0;0;0;3;0;0;2;0;3;10;1;4;0;2;0;3;1;5;0;0;1;1;1;2;0;2;0;0;3;5;0;2;1;5
230;v_fesenko;Володимир Фесенко;0;10;4;0;0;0;0;0;0;0;0;0;8;0;0;0;6;3;7;1;0;0;0;3;1;4;5;0;0;0;3;1;4;0;1;0;0;0;0;1;1;0
564;y_romanenko;Юрій Романенко;0;3;0;0;0;0;22;0;0;0;21;0;1;0;0;0;1;0;2;2;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0
418;m_chaplyha;Михайло Чаплига;4;0;0;0;0;1;9;4;0;0;11;0;0;0;0;0;7;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
166;r_biziaiev;Руслан Бізяєв;0;0;0;0;0;0;11;0;0;0;15;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
94;s_leshchenko;Сергій Лещенко;1;1;3;0;1;1;1;0;0;0;1;0;2;0;1;0;1;0;1;5;0;0;0;1;0;5;0;0;0;0;0;1;2;1;1;0;2;0;3;0;2;3
147;a_yatseniuk;Арсеній Яценюк;1;0;1;1;0;2;2;0;1;0;2;1;1;0;0;0;0;3;0;5;0;0;0;0;0;0;0;0;1;0;13;1;0;0;0;0;0;2;0;0;0;2
293;a_zolotarov;Андрій Золотарьов;0;0;1;0;0;0;5;0;0;0;8;0;5;0;0;0;2;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
126;v_shabunin;Віталій Шабунін;0;11;1;0;0;0;0;0;1;2;0;0;1;0;0;0;0;0;0;2;0;2;1;0;0;3;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;11
516;a_marchevskyi;Артем Марчевський;16;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
67;o_holubovska;Ольга Голубовська;0;0;0;0;0;8;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;1;0;0;0;0;0;16;0;0;0;0;0;0;0
478;v_karasov;Вадим Карасьов;0;0;0;0;0;0;1;0;0;0;3;1;2;0;0;0;5;1;0;1;0;0;0;0;0;0;1;0;2;0;6;1;0;2;2;0;1;0;0;0;0;0
249;o_yakubin;Олексій Якубін;2;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;12;0;6;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0
390;r_kravets;Ростислав Кравець;1;0;1;0;0;2;1;0;0;1;1;1;0;1;0;0;4;1;0;0;0;0;0;2;0;1;0;0;4;2;0;0;0;0;3;1;0;1;0;0;0;0
337;p_klimkin;Павло Клімкін;2;2;1;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;1;3;0;0;1;1;0;0;0;4;0;0;1;2;0;1;0;0;0;0;0;3;0;0
384;y_lutsenko;Юрій Луценко;3;6;1;0;0;0;0;1;1;0;0;0;0;0;1;0;2;2;0;1;0;0;0;1;0;0;0;0;0;1;1;0;2;0;0;0;1;0;0;0;1;1
511;o_koshel;Олексій Кошель;1;4;2;1;0;0;0;0;4;0;0;0;0;0;1;0;0;3;0;1;0;0;0;2;0;3;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0
454;i_holovan;Ігор Головань;0;0;1;1;0;1;0;0;1;0;0;2;0;0;1;0;0;1;0;2;2;0;0;1;0;2;0;1;0;2;1;0;0;0;1;1;1;0;0;0;0;0
464;t_zahorodnii;Тарас Загородній;0;0;0;0;0;1;8;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
205;v_hroisman;Володимир Гройсман;1;1;0;0;0;2;1;0;1;0;1;4;0;0;1;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;0;0
