,Українська правда,Страна.ua,РБК-Україна,Obozrevatel,24 канал,Цензор.НЕТ,ТСН,Гордон,Politeka,УНІАН,Znaj.ua,LIGA.net,112.ua,Сьогодні,Апостроф,УНН,Українські новини,Економічна правда,Еспресо ТВ,Радіо Свобода,Факти ICTV,LB.ua,Громадське,ZIK,ZN.UA,Фокус,Інтерфакс-Україна,Корреспондент.net,Главком,Вголос,НВ,Суспільне,Zaxid.net,Бабель,Gazeta.ua,Укрінформ,ГолосUA,Букви,КП в Украине,Факти,Телеграф,Вести,Name
0,0,0,3,0,2,0,2,0,0,4,0,2,0,3,0,0,0,0,0,48,0,0,16,0,9,1,32,0,0,0,0,7,2,0,0,75,0,0,0,0,0,0,Українська правда
1,2,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,Страна.ua
2,4,0,0,3,0,4,0,1,0,1,0,4,0,0,3,0,0,0,0,10,0,2,0,0,0,1,4,0,0,0,5,2,0,0,0,4,0,0,0,0,0,0,РБК-Україна
3,10,3,28,0,2,10,35,7,1,3,1,9,1,46,6,2,6,0,3,13,0,4,1,0,6,2,5,0,8,0,9,9,2,0,1,11,5,0,1,2,0,14,Obozrevatel
4,52,0,56,22,0,14,59,10,0,10,0,20,0,0,3,10,4,0,3,73,0,8,9,0,8,5,76,0,7,0,39,47,26,3,0,81,2,2,8,0,0,3,24 канал
5,42,0,177,10,4,0,24,33,0,72,0,27,1,50,1,0,4,0,3,95,8,10,15,0,28,3,8,0,5,0,14,18,1,4,1,187,0,7,1,0,0,0,Цензор.НЕТ
6,4,0,10,5,1,0,0,1,0,12,0,0,0,4,1,0,1,0,1,5,0,1,0,0,1,0,10,1,0,0,2,3,1,0,1,12,0,0,0,3,0,2,ТСН
7,10,3,8,1,1,5,2,0,0,1,0,2,1,3,0,0,0,0,0,13,0,4,1,0,6,0,3,0,0,0,5,7,0,3,0,3,0,1,0,0,0,0,Гордон
8,2,3,24,27,3,8,22,2,0,2,75,4,1,11,5,1,5,0,1,0,1,0,0,0,0,0,5,1,1,0,3,7,2,0,4,2,8,0,4,4,0,5,Politeka
9,49,4,34,35,19,3,128,3,0,0,0,5,3,42,9,0,5,0,0,29,1,6,14,0,2,1,0,0,0,0,27,13,2,0,2,0,1,0,1,5,0,2,УНІАН
10,4,2,13,5,3,9,13,1,1,4,0,2,0,5,6,1,1,0,1,0,0,0,2,0,0,1,5,1,2,0,1,15,1,0,2,2,5,0,4,1,0,2,Znaj.ua
11,5,0,7,0,0,2,3,1,0,1,0,0,0,1,0,0,0,0,0,20,1,5,3,0,2,1,5,0,0,0,3,6,2,1,0,12,0,1,0,0,0,0,LIGA.net
12,15,4,28,2,0,4,3,0,0,3,0,2,0,10,0,1,7,0,0,10,0,0,5,0,5,0,2,1,0,0,1,3,0,1,0,16,1,0,0,0,0,3,112.ua
13,6,0,5,3,0,0,2,4,6,7,5,1,0,0,0,0,1,0,0,3,0,0,0,0,1,2,3,0,6,0,2,4,0,0,0,6,0,0,0,0,0,0,Сьогодні
14,8,3,13,9,7,8,17,0,0,1,0,4,0,13,0,0,12,0,3,4,0,2,1,0,2,3,1,0,2,0,4,8,1,1,4,6,1,1,0,1,0,2,Апостроф
15,0,0,0,0,1,1,1,1,0,0,0,2,0,1,0,0,1,0,1,22,0,0,0,0,2,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,УНН
16,16,13,19,25,1,5,9,0,0,4,0,3,1,17,4,0,0,0,1,7,0,2,2,0,1,0,3,4,2,0,4,2,0,0,3,1,1,0,7,1,0,2,Українські новини
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Економічна правда
18,39,0,95,1,4,7,5,0,0,21,0,4,0,15,0,0,0,0,0,62,0,6,5,0,6,3,41,0,3,0,11,8,1,6,0,98,0,0,0,0,0,0,Еспресо ТВ
19,3,0,4,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,Радіо Свобода
