image_name;name;Obozrevatel:позитивні;Obozrevatel:нейтральні;Obozrevatel:негативні;РБК-Україна:позитивні;РБК-Україна:нейтральні;РБК-Україна:негативні;Українська правда:позитивні;Українська правда:нейтральні;Українська правда:негативні;Економічна правда:позитивні;Економічна правда:нейтральні;Економічна правда:негативні;Страна.ua:позитивні;Страна.ua:нейтральні;Страна.ua:негативні;LIGA.net:позитивні;LIGA.net:нейтральні;LIGA.net:негативні;ZIK:позитивні;ZIK:нейтральні;ZIK:негативні;УНН:позитивні;УНН:нейтральні;УНН:негативні;Українські новини:позитивні;Українські новини:нейтральні;Українські новини:негативні;Politeka:позитивні;Politeka:нейтральні;Politeka:негативні;Інтерфакс-Україна:позитивні;Інтерфакс-Україна:нейтральні;Інтерфакс-Україна:негативні;УНІАН:позитивні;УНІАН:нейтральні;УНІАН:негативні;Гордон:позитивні;Гордон:нейтральні;Гордон:негативні;LB.ua:позитивні;LB.ua:нейтральні;LB.ua:негативні;Сьогодні:позитивні;Сьогодні:нейтральні;Сьогодні:негативні;Радіо Свобода:позитивні;Радіо Свобода:нейтральні;Радіо Свобода:негативні;ZN.UA:позитивні;ZN.UA:нейтральні;ZN.UA:негативні;Апостроф:позитивні;Апостроф:нейтральні;Апостроф:негативні;Фокус:позитивні;Фокус:нейтральні;Фокус:негативні;Znaj.ua:позитивні;Znaj.ua:нейтральні;Znaj.ua:негативні;112.ua:позитивні;112.ua:нейтральні;112.ua:негативні;Громадське:позитивні;Громадське:нейтральні;Громадське:негативні;Еспресо ТВ:позитивні;Еспресо ТВ:нейтральні;Еспресо ТВ:негативні;Zaxid.net:позитивні;Zaxid.net:нейтральні;Zaxid.net:негативні;Вести:позитивні;Вести:нейтральні;Вести:негативні;Gazeta.ua:позитивні;Gazeta.ua:нейтральні;Gazeta.ua:негативні;Главком:позитивні;Главком:нейтральні;Главком:негативні;Корреспондент.net:позитивні;Корреспондент.net:нейтральні;Корреспондент.net:негативні;Вголос:позитивні;Вголос:нейтральні;Вголос:негативні;Суспільне:позитивні;Суспільне:нейтральні;Суспільне:негативні;ГолосUA:позитивні;ГолосUA:нейтральні;ГолосUA:негативні;Укрінформ:позитивні;Укрінформ:нейтральні;Укрінформ:негативні;Телеграф:позитивні;Телеграф:нейтральні;Телеграф:негативні;КП в Украине:позитивні;КП в Украине:нейтральні;КП в Украине:негативні;Факти:позитивні;Факти:нейтральні;Факти:негативні;ТСН:позитивні;ТСН:нейтральні;ТСН:негативні;НВ:позитивні;НВ:нейтральні;НВ:негативні;Факти ICTV:позитивні;Факти ICTV:нейтральні;Факти ICTV:негативні;Букви:позитивні;Букви:нейтральні;Букви:негативні;24 канал:позитивні;24 канал:нейтральні;24 канал:негативні;Бабель:позитивні;Бабель:нейтральні;Бабель:негативні;Цензор.НЕТ:позитивні;Цензор.НЕТ:нейтральні;Цензор.НЕТ:негативні
v_zelenskyi;Володимир Зеленський;45;65;107;33;81;75;18;40;53;4;18;13;52;49;78;27;38;61;15;38;150;30;55;87;60;54;68;5;21;46;64;58;70;53;76;83;50;79;182;31;27;45;41;53;83;18;35;33;31;56;108;21;40;61;22;22;34;25;34;51;30;58;125;8;14;39;22;57;34;7;13;21;107;59;109;23;51;99;70;78;183;45;48;51;8;16;20;13;20;24;37;44;73;69;82;81;56;41;72;61;26;53;14;25;33;38;75;75;70;61;133;27;43;49;22;31;65;87;92;196;9;37;28;82;68;96
v_medvedchuk;Віктор Медведчук;3;11;83;0;8;57;6;14;36;0;3;4;5;5;75;2;4;47;19;25;232;0;6;41;4;13;31;0;1;16;1;5;44;2;5;85;3;2;120;3;1;30;3;9;61;0;4;48;1;0;59;1;16;66;7;13;43;1;1;4;16;27;207;0;4;27;2;11;28;2;3;26;28;25;128;4;11;73;9;14;101;1;4;28;1;7;32;1;1;23;15;14;112;1;1;46;11;27;92;9;8;58;0;9;24;4;17;90;10;12;92;1;1;17;0;3;42;6;21;137;2;10;37;8;18;116
d_shmyhal;Денис Шмигаль;8;12;18;11;23;11;2;5;3;8;16;3;10;6;6;8;5;8;7;15;6;3;16;12;14;11;8;0;7;6;11;18;7;11;24;9;10;30;17;7;12;9;5;21;17;5;10;8;8;15;12;2;7;6;4;7;4;2;8;6;8;12;5;3;4;4;7;28;6;2;6;4;18;8;11;2;8;8;29;26;33;10;17;7;1;1;3;7;17;4;9;8;10;35;42;16;2;0;4;7;9;18;2;4;2;10;22;11;7;15;22;6;16;13;2;6;10;16;43;29;1;8;2;19;20;12
m_stepanov;Максим Степанов;2;17;18;4;26;16;2;13;7;0;3;0;6;10;16;1;8;8;0;7;4;6;29;19;3;10;12;2;6;5;3;13;6;3;25;6;6;31;16;5;17;8;4;20;13;2;12;4;15;12;8;2;9;19;1;8;9;3;6;6;1;15;8;4;6;3;0;13;1;2;5;6;13;12;26;2;15;10;12;29;13;1;13;9;0;7;3;3;11;2;3;6;11;6;23;9;2;15;9;6;6;17;1;4;2;1;25;11;8;13;28;2;17;8;1;10;10;10;34;28;2;8;5;7;18;19
d_kuleba;Дмитро Кулеба;1;7;13;11;24;15;10;11;10;1;0;0;8;9;7;5;8;10;6;1;5;8;18;20;9;9;1;0;0;1;18;15;20;15;18;15;5;10;32;9;11;8;1;9;12;6;10;12;7;15;18;4;3;4;3;3;0;0;0;2;4;8;1;0;3;5;6;8;9;2;2;1;20;12;4;1;5;8;14;6;19;11;12;14;0;3;5;3;6;3;6;5;4;20;24;20;2;3;3;10;4;8;0;3;5;8;13;18;11;8;21;7;8;15;1;3;7;14;23;33;2;6;4;27;16;23
v_klychko;Віталій Кличко;4;5;20;3;7;22;2;7;12;0;0;2;4;9;18;4;6;15;0;4;6;1;5;13;10;9;31;1;1;8;2;5;17;5;1;15;2;5;41;7;2;14;4;7;15;0;1;10;1;1;29;5;4;23;3;1;21;2;3;10;1;5;16;0;1;8;1;3;7;0;0;1;9;10;24;3;5;24;2;9;67;1;5;12;0;1;0;1;1;8;2;9;27;0;4;13;2;5;5;5;4;15;1;4;6;4;6;28;4;5;21;0;2;3;0;1;3;7;8;54;0;6;11;7;5;19
p_poroshenko;Петро Порошенко;6;7;29;2;4;11;2;8;18;1;2;0;9;3;39;3;2;7;1;2;15;0;5;6;4;7;8;2;4;12;4;6;18;3;4;9;11;10;34;3;5;23;1;2;14;2;2;14;1;4;59;1;1;7;4;7;10;2;7;6;2;2;15;1;3;9;0;1;6;1;2;15;10;11;24;4;3;28;4;5;19;0;0;7;0;0;2;1;2;5;7;3;10;1;4;6;3;2;13;7;1;18;1;1;6;2;8;12;7;14;34;3;1;2;1;4;24;6;11;36;1;5;11;8;9;27
t_kozak;Тарас Козак;0;0;25;0;2;15;1;3;11;0;0;0;0;1;15;0;2;34;0;0;17;0;0;37;1;2;7;0;2;3;0;1;21;1;1;43;0;1;53;1;0;13;0;0;18;0;1;33;0;0;43;0;2;8;3;1;8;1;2;1;0;0;12;0;0;24;1;1;11;1;2;17;1;2;16;1;5;21;3;4;48;0;0;6;0;1;5;0;0;12;0;0;5;0;0;15;0;2;12;1;1;12;0;0;5;0;1;27;4;5;67;0;1;13;0;2;32;1;3;36;0;1;7;2;7;77
v_liashko;Віктор Ляшко;5;11;4;5;19;2;1;8;5;0;1;0;6;11;8;4;4;4;0;6;2;2;5;3;3;8;3;1;1;0;2;15;4;6;21;4;5;18;5;5;12;2;4;13;8;4;8;1;11;10;3;1;11;9;2;5;2;0;2;1;0;12;0;4;6;2;1;14;0;1;4;0;11;15;16;4;13;3;11;18;4;0;10;6;1;1;0;4;9;0;4;6;3;4;18;3;1;7;5;5;5;4;0;4;2;5;17;3;8;14;18;2;9;4;3;5;2;7;17;11;2;12;1;5;18;6
i_venediktova;Ірина Венедіктова;0;1;13;0;2;10;0;1;7;0;1;0;1;1;10;0;0;5;0;1;15;0;0;18;0;2;5;0;0;0;1;2;12;1;2;13;0;2;79;0;1;2;0;2;13;0;1;12;0;2;10;0;1;10;0;1;8;0;0;0;0;0;17;0;2;4;0;3;4;0;0;4;1;0;13;1;3;9;0;3;14;0;1;4;0;0;2;0;1;5;0;1;8;1;2;12;0;0;5;1;2;20;0;0;4;0;4;8;1;1;14;0;1;8;0;0;33;0;3;30;0;1;3;3;3;21
