topic;112.ua;24 канал;Gazeta.ua;LB.ua;LIGA.net;Obozrevatel;Politeka;ZIK;ZN.UA;Zaxid.net;Znaj.ua;Інтерфакс-Україна;Апостроф;Бабель;Букви;Вголос;Вести;Главком;ГолосUA;Гордон;Громадське;Економічна правда;Еспресо ТВ;КП в Украине;Корреспондент.net;НВ;РБК-Україна;Радіо Свобода;Страна.ua;Суспільне;Сьогодні;ТСН;Телеграф;УНІАН;УНН;Українська правда;Українські новини;Укрінформ;Факти;Факти ICTV;Фокус;Цензор.НЕТ
Справа Віктора Медведчука;34.2;10.6;10.8;3.7;8.8;7.7;3.8;44.9;8.1;7.7;1.2;3.6;8.4;7.4;8.1;16.5;17.6;8.4;21.8;8.9;7.7;1.8;6.1;11.1;3.4;12.8;4.4;11.0;11.6;2.5;7.6;11.3;17.9;7.8;7.1;5.5;7.0;2.1;6.8;3.7;15.2;11.4
Звільнення Степанова і призначення Ляшка міністром охорони здоров'я;2.5;4.7;5.8;5.7;4.2;4.7;3.2;1.8;5.3;5.8;1.6;2.8;7.5;7.0;6.7;5.8;5.0;4.6;4.6;4.9;8.3;0.0;4.5;4.7;6.5;6.9;5.6;4.3;5.3;2.5;8.1;7.1;5.6;7.6;7.3;4.5;4.1;3.5;4.7;8.1;6.2;3.6
Пресконференція Зеленського до другої річниці президенства;3.6;3.8;4.8;2.6;3.2;2.1;0.0;2.0;6.3;1.3;0.0;2.1;4.3;4.7;4.9;0.0;2.0;2.6;2.5;1.9;1.8;3.5;2.7;3.7;6.5;2.5;2.0;2.8;3.4;1.4;4.1;7.7;5.0;6.1;3.3;4.9;3.4;2.1;4.7;5.1;3.1;2.3
Обшуки в КМДА і комунальних підприємствах столиці, загострення між Кличком і ОПУ;1.7;3.3;3.9;2.9;1.8;1.7;2.8;0.6;3.9;0.0;2.3;1.6;5.8;3.9;0.4;0.0;5.8;5.1;4.2;3.8;2.4;0.0;1.9;5.3;1.4;5.2;2.5;1.1;3.6;0.7;1.8;2.8;2.3;1.3;2.8;3.9;5.5;1.2;1.4;0.0;5.8;2.9
Зміна керівництва Нафтогазу;1.0;2.8;1.5;4.3;6.4;1.5;2.8;0.8;3.9;3.9;2.6;2.8;1.4;3.5;1.8;0.0;0.9;2.4;1.6;3.4;3.6;16.7;2.9;2.4;1.7;6.7;2.0;2.5;4.4;1.4;1.6;2.0;1.2;2.1;1.9;1.0;5.6;1.6;0.7;3.3;1.6;3.4
Призначення нових міністрів інфраструктури та економіки;1.9;1.9;1.3;3.4;2.8;1.2;0.6;1.4;1.3;2.6;1.2;3.4;2.3;5.1;2.5;1.7;1.7;2.2;0.7;2.2;4.2;7.0;3.7;1.6;2.4;2.7;3.4;2.8;2.5;1.4;3.2;3.2;0.9;3.6;4.5;0.0;2.1;1.9;4.7;4.4;2.3;1.4
Зміна трьох міністрів (охорони здоров'я, інфраструктури та економіки);1.0;2.3;1.9;2.0;1.1;1.4;0.3;0.8;1.3;2.6;0.9;1.0;1.7;1.2;0.7;2.5;1.8;2.2;1.4;1.8;0.6;3.5;2.1;1.8;2.7;1.6;1.9;1.4;0.8;0.7;1.6;4.0;2.1;1.3;1.9;2.9;1.5;1.8;0.0;4.4;0.4;0.9
Заяви до Дня пам'яті і примирення та Дня перемоги;3.2;2.2;1.9;2.0;0.4;3.2;0.6;2.8;0.7;2.6;1.6;2.3;1.7;1.9;2.8;5.0;0.9;1.8;0.7;1.6;1.2;0.0;1.9;0.5;3.4;0.4;0.9;0.7;1.3;1.8;3.9;1.2;0.6;1.5;0.9;1.0;0.9;1.4;2.7;2.6;1.6;0.3
Визнання Вірастюка депутатом і скасування протоколу ЦВК Верховним Судом;0.8;1.7;1.9;1.7;2.8;1.1;0.0;1.0;1.3;3.9;0.0;1.5;1.7;2.3;2.5;1.7;1.1;1.1;1.6;1.5;3.6;0.0;2.4;1.8;2.4;1.8;1.1;1.8;1.9;2.9;1.2;2.6;1.8;1.3;1.7;1.9;1.5;1.1;1.4;2.2;3.1;1.7
Саміт НАТО, ПДЧ для України та співпраця з альянсом;0.3;1.9;0.4;2.3;0.7;1.7;0.0;0.4;2.6;1.3;0.0;2.8;0.9;1.9;1.4;1.7;0.0;1.2;0.0;4.5;0.6;0.0;1.6;0.0;2.4;0.0;1.9;1.8;0.0;0.7;0.9;1.2;0.0;2.1;1.7;2.6;0.0;2.5;0.7;4.0;0.0;0.0
Прининення авісполучення з Білоруссю після посадки літака Ryanair;1.7;1.0;1.7;1.7;1.4;1.5;0.0;1.0;2.6;1.3;0.7;2.3;1.2;0.8;0.7;0.0;0.0;1.2;0.0;1.5;1.2;2.6;1.1;0.0;1.7;0.0;3.0;1.8;0.0;0.9;2.3;1.4;0.0;2.1;2.1;2.3;0.0;1.5;3.4;3.3;0.0;0.0
Законопроєкт про олігархів;0.5;1.6;2.4;1.1;2.5;1.0;0.3;0.2;1.5;2.6;0.0;1.0;0.9;1.2;0.7;0.0;1.2;1.2;0.9;2.4;0.6;2.6;1.1;1.6;1.4;2.7;1.1;1.4;1.3;0.5;0.0;0.2;2.6;0.4;0.7;2.3;0.9;0.9;1.4;2.2;1.6;1.2
Викрадення екссудді Чауса;0.8;0.3;0.6;0.9;0.7;0.8;0.3;0.8;2.4;0.6;0.2;0.2;0.3;0.4;2.5;0.0;0.8;2.2;0.0;1.3;1.2;0.0;1.1;0.3;0.7;0.2;0.6;0.0;0.6;0.2;0.7;0.8;0.0;1.5;1.7;1.3;0.0;0.5;0.7;0.7;0.8;0.7
