category;word;word_count
Інциденти;Поліція;20404
Інциденти;Чоловік;16128
Інциденти;Область;14796
Інциденти;Повідомити;29359
Інциденти;Річний;10056
Інциденти;Правоохоронці;10850
Інциденти;Суд;10806
Інциденти;Кримінальна;7879
Інциденти;Місце;10076
Інциденти;Київ;10076
Інциденти;Водій;6109
Інциденти;Служба;8453
Інциденти;Подія;5840
Інциденти;Жінок;5692
Інциденти;Осіб;5665
Інциденти;Автомобіль;7529
Інциденти;Поліцейські;10470
Інциденти;Стаття;5147
Політика;Медведчук;18888
Політика;Заявила;10376
Політика;Україна;27396
Політика;Міністр;14390
Політика;Питання;9416
Політика;Голова;13701
Політика;Депутат;12234
Політика;Державний;8240
Політика;Суд;11646
Політика;Рішення;8196
Політика;Закон;8101
Політика;Політика;7514
Політика;Верховний;7497
Політика;Країна;9946
Політика;Рада;6407
Світ;Літак;13582
Світ;Країн;12344
Світ;Білорусь;18277
Світ;Протасевич;10252
Світ;Мінськ;8222
Світ;Заявила;8556
Світ;Повідомляло;13600
Світ;Людей;8417
Світ;2021;6745
Світ;Канал;5525
Світ;Лукашенко;5270
Світ;Ryanair;5094
Світ;Світ;5079
Світ;Telegram;4820
Світ;Компаній;4716
Світ;США;5673
Економіка;Гривень;27773
Економіка;Ціни;14269
Економіка;Компаній;12979
Економіка;Україна;22737
Економіка;Доларів;10542
Економіка;Ринок;9545
Економіка;Державний;7443
Економіка;Курс;7861
Економіка;2020;6843
Економіка;Країн;6749
Економіка;Заявила;4281
Економіка;Вартість;3991
Закордонна політика;США;21371
Закордонна політика;Росії;28256
Закордонна політика;Країн;15568
Закордонна політика;Ізраїль;13591
Закордонна політика;Заявила;13503
Закордонна політика;Байден;9935
Закордонна політика;Україна;17348
Закордонна політика;Санкції;6451
Закордонна політика;ЄС;10196
Закордонна політика;Зустрічі;5523
Закордонна політика;Газу;5479
Закордонна політика;Військових;5180
Закордонна політика;Путін;7644
Закордонна політика;Північний;4594
Закордонна політика;Питання;4525
Закордонна політика;Блінкена;4511
Закордонна політика;Білорусь;10152
Економіка;Банк;2799
Економіка;Бізнес;1849
Економіка;Час;1729
Закордонна політика;Лукашенко;2545
Закордонна політика;Літак;3157
Інциденти;Карна;2183
Інциденти;Автомобіль;2174
Політика;Президент;7581
