expert_id,expert,112.ua,24 канал,Gazeta.ua,LB.ua,LIGA.net,Politeka,ZIK,Zaxid.net,Znaj.ua,Інтерфакс-Україна,Апостроф,Бабель,Букви,Вголос,Вєсті,Газета Факти,Главком,ГолосUA,Гордон,Громадське,Дзеркало тижня,Економічна Правда,Еспресо ТВ,Комсомольська правда в Україні,Корреспондент.net,НВ,Обозреватель,РБК-Україна,Радіо Свобода,Страна.ua,Суспільне,Сьогодні,ТСН,Телеграф,УНІАН,УНН,Українська правда,Українські новини,Укрінформ,Факти ICTV,Фокус,Цензор.НЕТ
16,Наталка Діденко,0,23,21,0,0,5,5,0,23,0,18,5,1,5,10,3,21,4,7,1,3,0,21,13,2,22,28,5,4,23,0,20,2,22,0,0,1,24,2,2,2,1
92,Сергій Лещенко,0,25,0,1,2,1,0,2,0,5,2,1,2,0,6,1,40,2,14,0,9,0,1,5,1,4,5,0,1,6,0,0,0,5,2,0,2,3,0,0,22,3
86,Борис Кушнірук,0,4,2,0,0,25,0,0,26,0,0,0,0,0,1,0,19,0,9,0,0,0,2,0,0,0,24,9,0,0,0,16,0,1,1,3,0,0,0,0,0,6
40,Юрій Бутусов,0,13,4,4,8,1,0,1,1,1,4,3,2,0,2,2,9,0,7,1,5,0,13,0,2,7,11,0,1,0,2,1,0,5,0,0,2,1,3,2,2,14
170,Сергій Томіленко,3,8,1,0,0,0,3,1,0,1,3,3,2,0,10,0,5,3,6,0,2,0,1,1,2,2,1,2,31,8,1,1,3,2,1,1,1,7,5,1,2,0
123,Руслан Бортник,1,0,0,0,0,17,1,0,17,0,1,0,0,0,25,0,0,46,0,0,0,0,0,3,0,0,0,0,0,3,0,1,0,1,0,0,0,2,0,0,1,0
142,Арсеній Яценюк,4,0,0,0,1,3,5,1,2,0,0,0,0,0,6,2,1,5,15,0,1,0,1,5,0,0,3,1,0,2,0,30,0,7,0,0,0,1,10,0,2,8
94,Сергій Гармаш,5,9,2,2,5,0,0,0,0,2,0,1,0,0,1,3,0,0,10,0,5,0,1,0,0,4,15,7,0,1,1,2,0,11,1,9,1,0,4,0,4,6
71,Євген Комаровський,0,0,3,0,0,1,3,0,17,0,2,0,0,0,1,2,11,11,9,0,0,0,0,7,0,1,0,0,0,15,0,0,4,14,4,0,0,1,0,1,3,0
107,Віталій Шабунін,0,29,2,2,4,0,1,1,0,2,2,2,0,1,2,1,14,0,8,3,4,0,3,0,1,3,9,0,2,0,0,0,0,0,0,0,3,2,0,0,1,5
109,Олег Пендзин,1,3,1,0,0,7,2,0,6,0,2,0,0,0,0,0,16,20,1,0,1,0,3,0,0,0,12,2,0,2,0,12,2,0,1,1,0,2,0,1,1,4
128,Тимофій Милованов,0,8,2,1,0,0,2,0,0,4,2,0,1,0,9,0,13,4,4,3,2,1,2,3,1,9,4,0,1,2,0,3,1,3,0,2,0,0,0,3,1,7
53,Ольга Голубовська,0,1,3,0,0,4,1,0,1,0,1,1,0,1,4,2,5,1,3,0,0,0,0,3,0,3,14,8,0,3,0,3,2,5,4,15,0,3,0,1,0,1
157,Денис Казанський,0,8,1,2,5,0,0,1,0,1,2,1,0,1,2,3,26,0,3,0,2,0,2,0,1,4,9,0,0,1,0,1,1,0,1,1,0,0,1,0,1,7
184,Олексій Кущ,1,1,7,0,0,24,5,0,22,0,2,0,0,0,3,0,1,1,0,0,0,0,0,6,0,0,2,0,0,0,0,6,1,0,0,0,0,1,0,1,0,0
434,Масі Найєм,0,7,7,1,3,0,0,0,0,2,0,2,2,0,4,1,3,0,5,2,1,0,4,0,0,10,2,0,2,2,1,0,3,1,0,1,0,1,2,0,7,4
165,Руслан Бізяєв,0,0,0,0,0,14,0,0,14,0,1,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
176,Володимир Фесенко,0,20,1,0,0,0,0,0,0,0,2,0,0,0,4,0,2,11,3,0,0,0,0,2,2,6,2,2,0,0,0,1,4,0,2,7,0,0,0,3,3,1
204,Олександр Каленков,0,0,0,0,0,15,0,0,14,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,14,8,0,0,0,5,0,0,0,0,0,1,0,0,0,6
138,Андрій Шевчишин,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,7,0,0,0,0,0,0,6,1,0,17,0,0,19,0,13,0,1,0,0,0,4,0,0,0,0
154,Павло Глоба,0,0,0,0,0,9,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,56,0,0,0,0
162,Олександр Охріменко,0,0,3,0,0,5,0,0,5,0,1,0,0,0,4,1,9,4,1,0,0,0,0,5,0,0,6,2,0,1,0,11,0,2,2,4,0,3,0,0,1,0
455,Пітер Дашак,1,6,2,0,1,0,4,0,1,1,0,1,0,2,2,0,1,2,2,2,2,0,3,0,2,3,3,3,0,3,3,3,1,1,2,1,1,0,3,2,3,2
203,Андрій Портнов,4,2,2,0,1,0,3,0,0,0,0,1,0,0,15,0,4,1,0,0,0,0,2,0,0,3,0,0,0,16,0,1,2,1,0,0,0,7,0,0,0,4
258,Рефат Чубаров,0,4,3,0,0,0,3,1,0,1,3,0,2,0,0,0,4,0,4,2,1,0,2,0,1,1,2,1,8,0,2,1,2,0,0,3,1,0,6,2,0,3
365,Наталія Голеня,0,4,5,0,0,0,0,0,0,0,3,0,0,0,0,4,17,0,0,0,0,0,0,2,0,2,2,10,0,0,0,7,1,2,1,0,0,1,0,0,0,0
207,Микола Кульбіда,0,5,5,0,0,0,1,0,0,0,2,0,0,0,0,2,1,3,1,0,5,0,0,1,0,2,2,2,0,1,4,0,20,0,0,0,0,3,0,0,1,0
382,Катерина Котенкова,0,0,1,0,0,26,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,Володимир Омелян,0,0,1,0,0,11,1,0,12,0,0,0,0,0,0,0,9,0,3,0,0,0,2,0,0,0,10,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0
297,Олег Сенцов,1,13,1,1,1,2,1,0,1,0,2,0,1,0,1,1,0,0,2,0,0,0,0,2,0,7,1,1,1,1,0,3,3,0,2,0,0,1,3,0,1,4
