Медіа,"Назва, яку треба використовувати"
112.ua,112.ua
24 канал,24 канал
Апостроф,Апостроф
Гордон,Гордон
hromadske,Громадське
Дзеркало тижня,ZN.UA
Економічна правда,Економічна правда
Еспресо,Еспресо ТВ
Інтерфакс-Україна,Інтерфакс-Україна
Ліга.net,LIGA.net
Лівий берег,LB.ua
Обозреватель,Obozrevatel
Політека,Politeka
Радіо Свобода,Радіо Свобода
РБК-Україна,РБК-Україна
Сьогодні,Сьогодні
ТСН,ТСН
Українські новини,Українські новини
УНІАН,УНІАН
УНН,УНН
Українська правда,Українська правда
Факти ICTV,Факти ICTV
Фокус,Фокус
Цензор.НЕТ,Цензор.НЕТ
ZIK,ZIK
Знай,Znaj.ua
Страна.ua,Страна.ua
Корреспондент,Корреспондент.net
Главком,Главком
Вголос,Вголос
НВ,НВ
Бабель,Бабель
Газета по-українськи,Gazeta.ua
Укрінформ,Укрінформ
Суспільне,Суспільне
zaxid,Zaxid.net
Букви,Букви
Вести,Вести
Телеграф,Телеграф
Голос,Голос
Комсомольская правда,Комсомольская правда
