,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,category,category,category,category,category,category,category,category,category,category,category,category,category,category,category,num,del_flag
,112.ua,24tv.ua,apostrophe.ua,babel.ua,bykvu.com,espreso.tv,fakty.com.ua,fakty.ua,focus.ua,gazeta.ua,glavcom.ua,golos.ua,gordonua.com,https://censor.net.ua,https://dt.ua/,https://hromadske.ua/,https://politeka.net/uk,https://ua.interfax.com.ua,https://ua.korrespondent.net/,https://ukr.lb.ua,https://ukranews.com,https://www.epravda.com.ua,https://www.liga.net,https://www.obozrevatel.com,https://www.pravda.com.ua,https://www.rbc.ua,https://www.segodnya.ua/ua,https://www.unian.ua,kp.ua,nv.ua,strana.ua,suspilne.media,telegraf.com.ua,tsn.ua,ukrinform.ua,vesti.ua,vgolos.com.ua,www.radiosvoboda.org,www.unn.com.ua,zaxid.net,zik.ua,znaj.ua,Інциденти,Інше,Війна/Донбас,Економіка,Життя/lifestyle,Карантин,Коронавірус,Міжнародна політика,Погода,Політика,Світ,Спорт,Суспільство,Технології,Шоу-бізнес,,
Юр Бутус,2.0,26.0,2.0,17.0,7.0,21.0,1.0,15.0,13.0,14.0,18.0,0.0,28.0,59.0,25.0,2.0,2.0,6.0,5.0,12.0,3.0,0.0,31.0,22.0,4.0,2.0,4.0,1.0,8.0,31.0,3.0,0.0,10.0,0.0,5.0,3.0,2.0,10.0,3.0,2.0,2.0,3.0,62.0,2.0,9.0,5.0,0.0,0.0,4.0,8.0,0.0,328.0,2.0,0.0,2.0,0.0,2.0,424.0,False
Наталк Діденк,0.0,25.0,18.0,3.0,2.0,24.0,1.0,6.0,4.0,25.0,26.0,18.0,1.0,1.0,2.0,2.0,17.0,0.0,2.0,1.0,22.0,0.0,4.0,30.0,5.0,1.0,27.0,0.0,15.0,17.0,16.0,0.0,28.0,1.0,3.0,22.0,6.0,0.0,0.0,1.0,8.0,32.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,398.0,1.0,1.0,0.0,2.0,0.0,2.0,416.0,False
Павл Фукс,9.0,22.0,13.0,1.0,3.0,2.0,7.0,10.0,24.0,5.0,19.0,13.0,16.0,20.0,6.0,8.0,33.0,5.0,1.0,3.0,8.0,0.0,10.0,6.0,1.0,3.0,7.0,13.0,17.0,29.0,18.0,5.0,4.0,8.0,5.0,9.0,6.0,2.0,14.0,2.0,2.0,26.0,18.0,2.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,369.0,5.0,0.0,7.0,0.0,6.0,415.0,False
Євген Комаровськ,1.0,0.0,7.0,0.0,0.0,0.0,5.0,16.0,7.0,6.0,20.0,9.0,5.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,6.0,6.0,8.0,2.0,8.0,0.0,19.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,21.0,0.0,1.0,0.0,0.0,96.0,1.0,66.0,0.0,0.0,9.0,0.0,0.0,4.0,1.0,2.0,180.0,False
Серг Комісаренк,4.0,10.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,7.0,2.0,5.0,4.0,5.0,16.0,0.0,4.0,0.0,8.0,0.0,1.0,0.0,1.0,9.0,0.0,15.0,2.0,54.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,6.0,0.0,5.0,0.0,3.0,0.0,0.0,3.0,0.0,4.0,1.0,0.0,154.0,0.0,0.0,6.0,1.0,0.0,4.0,3.0,0.0,176.0,False
Ольг Голубовськ,1.0,3.0,4.0,0.0,0.0,0.0,2.0,4.0,1.0,12.0,7.0,6.0,10.0,4.0,3.0,0.0,7.0,1.0,2.0,4.0,5.0,0.0,0.0,32.0,0.0,1.0,3.0,5.0,2.0,2.0,4.0,0.0,4.0,4.0,2.0,7.0,3.0,0.0,16.0,0.0,4.0,4.0,0.0,1.0,0.0,12.0,2.0,2.0,127.0,0.0,0.0,21.0,1.0,0.0,3.0,0.0,0.0,169.0,False
Вітал Шабунін,2.0,16.0,0.0,3.0,3.0,2.0,3.0,4.0,4.0,10.0,2.0,2.0,6.0,11.0,7.0,2.0,0.0,5.0,1.0,1.0,2.0,0.0,8.0,3.0,4.0,3.0,0.0,5.0,3.0,8.0,3.0,0.0,2.0,4.0,5.0,6.0,3.0,5.0,0.0,1.0,2.0,0.0,105.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,151.0,False
Дмитр Гордон,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,4.0,1.0,3.0,0.0,91.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,4.0,1.0,0.0,3.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,4.0,1.0,2.0,18.0,0.0,73.0,12.0,1.0,9.0,0.0,18.0,142.0,False
Савік Шустер,2.0,10.0,3.0,0.0,0.0,6.0,4.0,1.0,0.0,5.0,0.0,0.0,8.0,2.0,4.0,1.0,3.0,2.0,7.0,2.0,0.0,2.0,0.0,20.0,0.0,10.0,15.0,5.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,6.0,21.0,0.0,5.0,53.0,3.0,0.0,32.0,0.0,0.0,5.0,1.0,1.0,130.0,False
Улян Супрун,4.0,12.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,2.0,8.0,0.0,1.0,1.0,3.0,2.0,5.0,6.0,1.0,3.0,2.0,0.0,5.0,1.0,0.0,2.0,0.0,9.0,27.0,12.0,1.0,0.0,2.0,47.0,0.0,16.0,1.0,0.0,33.0,1.0,0.0,5.0,3.0,8.0,129.0,False
Олег Пендзин,0.0,1.0,3.0,0.0,0.0,3.0,5.0,0.0,1.0,1.0,6.0,40.0,1.0,3.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,12.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,4.0,0.0,2.0,8.0,0.0,0.0,0.0,104.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,1.0,1.0,116.0,False
