,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,category,category,category,category,category,category,category,category,category,category,category,category,category,category,category,num,del_flag
,112.ua,24tv.ua,apostrophe.ua,babel.ua,bykvu.com,espreso.tv,fakty.com.ua,fakty.ua,focus.ua,gazeta.ua,glavcom.ua,golos.ua,gordonua.com,https://censor.net.ua,https://dt.ua/,https://hromadske.ua/,https://politeka.net/uk,https://ua.interfax.com.ua,https://ua.korrespondent.net/,https://ukr.lb.ua,https://ukranews.com,https://www.epravda.com.ua,https://www.liga.net,https://www.obozrevatel.com,https://www.pravda.com.ua,https://www.rbc.ua,https://www.segodnya.ua/ua,https://www.unian.ua,kp.ua,nv.ua,strana.ua,suspilne.media,telegraf.com.ua,tsn.ua,ukrinform.ua,vesti.ua,vgolos.com.ua,www.radiosvoboda.org,www.unn.com.ua,zaxid.net,zik.ua,znaj.ua,Інциденти,Інше,Війна/Донбас,Економіка,Життя/lifestyle,Карантин,Коронавірус,Міжнародна політика,Погода,Політика,Світ,Спорт,Суспільство,Технології,Шоу-бізнес,,
Наталк Діденк,0.0,22.0,18.0,6.0,1.0,21.0,2.0,3.0,2.0,23.0,21.0,4.0,7.0,1.0,3.0,1.0,5.0,0.0,2.0,0.0,23.0,0.0,0.0,31.0,1.0,5.0,22.0,0.0,13.0,22.0,24.0,1.0,23.0,2.0,2.0,10.0,5.0,5.0,0.0,0.0,5.0,24.0,8.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,340.0,0.0,2.0,0.0,4.0,0.0,1.0,360.0,False
Анатол Шар,12.0,32.0,5.0,3.0,5.0,15.0,2.0,5.0,16.0,7.0,13.0,12.0,7.0,9.0,4.0,7.0,4.0,6.0,8.0,4.0,14.0,0.0,6.0,7.0,7.0,4.0,8.0,7.0,7.0,19.0,11.0,4.0,11.0,5.0,8.0,28.0,3.0,6.0,6.0,2.0,13.0,6.0,217.0,12.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,82.0,1.0,0.0,40.0,0.0,2.0,358.0,False
Серг Лещенк,1.0,26.0,2.0,1.0,2.0,2.0,0.0,1.0,24.0,1.0,46.0,3.0,18.0,3.0,9.0,0.0,2.0,5.0,1.0,1.0,8.0,0.0,2.0,5.0,2.0,0.0,0.0,2.0,5.0,4.0,8.0,0.0,6.0,1.0,1.0,8.0,0.0,1.0,0.0,2.0,1.0,0.0,33.0,0.0,1.0,7.0,0.0,0.0,0.0,6.0,0.0,145.0,1.0,0.0,9.0,0.0,2.0,204.0,False
Серг Томіленк,3.0,8.0,3.0,4.0,31.0,2.0,1.0,1.0,4.0,1.0,6.0,5.0,7.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,8.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,9.0,1.0,2.0,3.0,5.0,10.0,0.0,31.0,26.0,1.0,3.0,0.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,16.0,0.0,153.0,4.0,0.0,5.0,0.0,0.0,192.0,False
Савік Шустер,9.0,4.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,10.0,2.0,2.0,3.0,2.0,5.0,0.0,1.0,3.0,4.0,2.0,1.0,0.0,3.0,14.0,2.0,14.0,18.0,12.0,2.0,5.0,2.0,2.0,0.0,7.0,8.0,12.0,1.0,1.0,5.0,0.0,2.0,1.0,10.0,0.0,7.0,3.0,0.0,12.0,41.0,0.0,0.0,91.0,0.0,0.0,4.0,0.0,0.0,168.0,False
Юр Бутус,0.0,15.0,4.0,3.0,3.0,13.0,2.0,3.0,3.0,5.0,9.0,0.0,7.0,18.0,5.0,1.0,1.0,2.0,2.0,4.0,2.0,0.0,8.0,12.0,2.0,0.0,1.0,0.0,1.0,8.0,1.0,3.0,6.0,0.0,3.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,25.0,0.0,39.0,1.0,0.0,0.0,0.0,4.0,0.0,77.0,0.0,0.0,8.0,0.0,0.0,154.0,False
Арсен Яценюк,5.0,2.0,2.0,0.0,1.0,2.0,0.0,3.0,2.0,0.0,3.0,6.0,16.0,10.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,3.0,31.0,0.0,5.0,3.0,2.0,0.0,5.0,1.0,10.0,9.0,0.0,0.0,0.0,1.0,6.0,3.0,11.0,1.0,6.0,13.0,0.0,0.0,0.0,11.0,0.0,99.0,2.0,0.0,3.0,0.0,2.0,148.0,False
Борис Кушнірук,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,19.0,0.0,9.0,6.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,9.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,25.0,0.0,0.0,0.0,138.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,147.0,False
Вітал Шабунін,0.0,29.0,2.0,2.0,0.0,4.0,0.0,1.0,3.0,2.0,15.0,1.0,8.0,5.0,4.0,3.0,1.0,2.0,1.0,2.0,5.0,0.0,6.0,10.0,3.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,1.0,0.0,27.0,3.0,2.0,1.0,0.0,0.0,1.0,6.0,0.0,82.0,1.0,0.0,0.0,0.0,0.0,123.0,False
