,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,category,category,category,category,category,category,category,category,category,category,category,category,category,category,category,num,del_flag
,112.ua,24tv.ua,apostrophe.ua,babel.ua,bykvu.com,espreso.tv,fakty.com.ua,fakty.ua,focus.ua,gazeta.ua,glavcom.ua,golos.ua,gordonua.com,https://censor.net.ua,https://dt.ua/,https://hromadske.ua/,https://politeka.net/uk,https://ua.interfax.com.ua,https://ua.korrespondent.net/,https://ukr.lb.ua,https://ukranews.com,https://www.epravda.com.ua,https://www.liga.net,https://www.obozrevatel.com,https://www.pravda.com.ua,https://www.rbc.ua,https://www.segodnya.ua/ua,https://www.unian.ua,kp.ua,nv.ua,strana.ua,suspilne.media,telegraf.com.ua,tsn.ua,ukrinform.ua,vesti.ua,vgolos.com.ua,www.radiosvoboda.org,www.unn.com.ua,zaxid.net,zik.ua,znaj.ua,Інциденти,Інше,Війна/Донбас,Економіка,Життя/lifestyle,Карантин,Коронавірус,Міжнародна політика,Погода,Політика,Світ,Спорт,Суспільство,Технології,Шоу-бізнес,,
Наталк Діденк,1.0,24.0,18.0,1.0,4.0,22.0,1.0,7.0,2.0,26.0,19.0,6.0,0.0,0.0,4.0,1.0,17.0,0.0,3.0,0.0,23.0,0.0,0.0,33.0,5.0,1.0,18.0,0.0,15.0,16.0,25.0,0.0,24.0,8.0,3.0,15.0,10.0,1.0,0.0,0.0,6.0,30.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,377.0,0.0,1.0,0.0,1.0,0.0,0.0,389.0,False
Ольг Голубовськ,3.0,1.0,4.0,0.0,0.0,1.0,5.0,4.0,1.0,8.0,5.0,4.0,7.0,10.0,3.0,0.0,9.0,0.0,1.0,0.0,6.0,0.0,0.0,55.0,0.0,8.0,1.0,7.0,11.0,6.0,7.0,0.0,11.0,5.0,0.0,18.0,7.0,0.0,29.0,0.0,8.0,0.0,0.0,1.0,0.0,2.0,4.0,9.0,206.0,2.0,0.0,18.0,0.0,0.0,3.0,0.0,0.0,245.0,False
Юр Бутус,0.0,11.0,3.0,4.0,1.0,7.0,3.0,1.0,7.0,5.0,14.0,0.0,17.0,16.0,5.0,4.0,0.0,1.0,0.0,5.0,4.0,0.0,4.0,5.0,2.0,0.0,1.0,2.0,4.0,16.0,0.0,0.0,3.0,1.0,7.0,1.0,1.0,3.0,0.0,1.0,0.0,2.0,116.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,34.0,1.0,0.0,3.0,0.0,0.0,161.0,False
Дмитр Гордон,0.0,6.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,3.0,67.0,1.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,13.0,0.0,2.0,1.0,2.0,1.0,5.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,14.0,0.0,34.0,12.0,38.0,4.0,0.0,22.0,128.0,False
Євген Комаровськ,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,2.0,0.0,11.0,13.0,5.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,5.0,2.0,1.0,13.0,0.0,14.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,22.0,0.0,2.0,0.0,1.0,81.0,0.0,25.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,117.0,False
Михайл Бродськ,0.0,8.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,10.0,1.0,8.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,54.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,49.0,0.0,0.0,49.0,0.0,1.0,2.0,0.0,1.0,108.0,False
Серг Гармаш,0.0,7.0,4.0,2.0,0.0,5.0,0.0,3.0,1.0,0.0,0.0,0.0,16.0,5.0,6.0,0.0,1.0,4.0,2.0,2.0,1.0,0.0,2.0,5.0,1.0,6.0,2.0,5.0,0.0,4.0,2.0,0.0,9.0,0.0,1.0,4.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,93.0,1.0,0.0,0.0,1.0,2.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,104.0,False
Арсен Яценюк,1.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,4.0,2.0,6.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,24.0,0.0,4.0,1.0,6.0,0.0,1.0,0.0,3.0,8.0,1.0,2.0,0.0,0.0,2.0,1.0,4.0,1.0,0.0,24.0,0.0,0.0,1.0,17.0,0.0,40.0,2.0,1.0,4.0,0.0,0.0,94.0,False
Вітал Немілостів,2.0,8.0,1.0,0.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,2.0,3.0,3.0,0.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,2.0,8.0,3.0,1.0,2.0,1.0,3.0,2.0,4.0,1.0,1.0,0.0,4.0,1.0,3.0,5.0,2.0,1.0,0.0,2.0,26.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,92.0,False
